"FOOD SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","",""
"","120
001","99","2.974","12.1","24.2","34.3","11.1","13.1","4.0",".","1.0",".",".",".",".",".",".",".","."
"","002
120","87","2.920","14.9","16.1","29.9","20.7","16.1","2.3",".",".",".",".",".",".",".",".",".","."
"","003
120","87","2.797","8.0","18.4","29.9","24.1","13.8","2.3","2.3","1.1",".",".",".",".",".",".",".","."
"Science of Food","Course Total","273","2.900","11.7","19.8","31.5","18.3","14.3","2.9","0.7","0.7",".",".",".",".",".",".",".","."
"Prof-Dietetics&Foodserv Adm","200
001","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Nature of Food","235
001","74","3.162","29.7","14.9","33.8","6.8","12.2","2.7",".",".",".",".",".",".",".",".",".","."
"","236
001","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","236
002","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","236
003","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Food - Laboratory","Course Total","36","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of Food Products","310
001","34","2.868","17.6","14.7","20.6","17.6","29.4",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology Lab","324
001","16","3.250","18.8","43.8","12.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology","325
001","54","3.132","9.3","33.3","35.2","14.8","5.6",".",".","1.9",".",".",".",".",".",".",".","."
"Special Topics","375
001","14","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Service Operations","437
001","50","3.160","10.0","36.0","40.0","8.0","4.0","2.0",".",".",".",".",".",".",".",".",".","."
"","438
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","438
002","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","438
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","38","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Serv Operations CUP","439
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Principles of Food Engr","440
001","17","3.147","29.4","17.6","23.5","11.8","17.6",".",".",".",".",".",".",".",".",".",".","."
"Principles of Food Chem-Lab","512
001","15","3.467","20.0","53.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Processing I","530
001","16","3.267","37.5","12.5","25.0","12.5",".","6.3",".","6.3",".",".",".",".",".",".",".","."
"Prof Practice in Food Sci","600
001","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Food Enzymes","001
612","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food & Phmaceut Separations","642
001","6","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trends in Food Safety","670
001","8","3.571","12.5","75.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","699
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","9","3.850","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Food Sci Teaching","799
027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar Advanced","900
001","13","3.500","30.8","23.1","30.8",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"","990
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","6","4.000","16.7",".",".",".",".",".",".","33.3",".",".",".","50.0",".",".",".","."
"","990
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 21 of 370"
