"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Jefferson&Jackson,1789-1848","391","001","59","3.320","23.7","45.8","18.6","5.1","3.4","1.7","1.7",".",".",".",".",".",".",".",".","."
"Civil War Era, 1848-1877","393","001","124","2.908","6.5","13.7","47.6","18.5","8.9","2.4",".","1.6",".",".",".",".",".",".","0.8","."
"United States, 1877-1914","395","001","42","2.953","14.3","21.4","23.8","21.4","9.5","4.8",".",".",".",".",".",".","2.4","2.4",".","."
"The US Since 1945","398","001","125","3.222","14.4","38.4","31.2","10.4","4.0",".","0.8",".",".",".",".",".",".","0.8",".","."
"Representative Americans","400","001","11","2.650","9.1","9.1","36.4","18.2","9.1",".","9.1",".",".",".",".",".",".","9.1",".","."
"Amer Urban Hist 1620-1870","401","001","59","3.248","13.6","33.9","42.4","8.5","1.7",".",".",".",".",".",".",".",".",".",".","."
"Immigratn&Assimlatn-Am Hist","403","001","83","2.970","10.8","21.7","31.3","20.5","7.2","3.6",".","2.4",".",".",".",".","1.2","1.2",".","."
"Central Europe 1871-Present","410","001","25","3.250","28.0","24.0","28.0","8.0","4.0","4.0",".","4.0",".",".",".",".",".",".",".","."
"History-American Education","412","001","46","3.348","19.6","41.3","30.4","6.5","2.2",".",".",".",".",".",".",".",".",".",".","."
"Amer Foreign Rel, 1763-1901","433","001","50","3.480","32.0","34.0","30.0",".","2.0",".",".",".",".",".",".",".",".","2.0",".","."
"Race,Class&Colonlsm-Caribbn","436","001","23","3.413","17.4","52.2","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Rev&Conflict-Mod Latin Amer","441","001","87","3.085","11.5","31.0","35.6","10.3","6.9",".","2.3","1.1",".",".",".",".",".","1.1",".","."
"Am Relig Hist to Mid-19th c","451","001","16","2.893",".","31.3","31.3","12.5","6.3","6.3",".","12.5",".",".",".",".",".",".",".","."
"Anc Japan&Courtly Society","453","001","30","3.267","20.0","36.7","20.0","13.3","6.7",".",".",".",".",".",".",".",".","3.3",".","."
"The American West to 1850","461","001","42","2.883","14.3","16.7","38.1","9.5","7.1","7.1","2.4","2.4",".",".",".",".",".","2.4",".","."
"Eur Soc Hist 1830-1914","474","001","22","2.778","18.2","13.6","27.3","22.7","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Compar Hist-Chldhood&Adoles","478","001","43","3.314","25.6","25.6","37.2","9.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504","001","6","3.333","50.0",".","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Health, Disease & Healing I","507","001","6","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Social Sciences","536","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","14","2.857","14.3",".","50.0","14.3","21.4",".",".",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Scand:Politics&Hist","577","001","9","3.477","33.3","11.1","33.3",".",".",".",".",".",".",".",".",".",".","22.2",".","."
"","600","001","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","15","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","14","3.429","35.7","28.6","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","600","004","23","3.652","47.8","34.8","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","006","16","3.563","50.0","18.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600","007","15","2.733",".","26.7","33.3","26.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","600","009","15","3.567","40.0","33.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","","Course Total","110","3.486","40.9","29.1","22.7","4.5","1.8",".","0.9",".",".",".",".",".",".",".",".","."
"Hist-Civ Rghts Movmnt in US","628","001","29","3.426","31.0","41.4","13.8","3.4",".",".","3.4","6.9",".",".",".",".",".",".",".","."
"Afro-Amer History to 1900","635","001","8","3.125","25.0","50.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Honors Thesis Colloquium","680","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","019","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","049","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 216 of 370",""
