"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","381","2.656","13.9","15.7","22.6","15.2","18.6","9.7","3.4",".","0.3",".",".",".",".",".",".","0.5"
"","002
101","437","2.588","13.3","12.6","19.7","21.5","17.4","12.4","2.5","0.5",".",".",".",".",".",".","0.2","."
"","101
003","448","2.758","10.5","21.7","20.8","20.8","19.6","4.7","2.0",".",".",".",".",".",".",".",".","."
"","101
004","231","2.816","15.6","15.6","31.2","17.3","9.1","6.1","3.9","0.4",".",".",".",".",".","0.9",".","."
"","005
101","48","3.032","27.1","12.5","29.2","14.6","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1545","2.702","13.4","16.4","22.7","18.9","17.0","8.3","2.7","0.2","0.1",".",".",".",".","0.1","0.1","0.1"
"","001
102","165","2.758","15.2","16.4","24.2","17.6","18.8","3.6","4.2",".",".",".",".",".",".",".",".","."
"","002
102","243","2.894","16.9","14.4","27.6","19.8","17.7","1.6","1.2","0.8",".",".",".",".",".",".",".","."
"","003
102","211","2.761","13.3","21.8","17.5","21.3","17.5","5.7","2.8",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","619","2.812","15.2","17.4","23.3","19.7","17.9","3.6","2.6","0.3",".",".",".",".",".",".",".","."
"","111
001","28","3.643","57.1","17.9","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","50","3.360","36.0","28.0","20.0","8.0","6.0","2.0",".",".",".",".",".",".",".",".",".","."
"Prin/Econ-Accelratd Treatmt","Course Total","78","3.462","43.6","24.4","20.5","6.4","3.8","1.3",".",".",".",".",".",".",".",".",".","."
"Econ Dev of Western World","001
121","11","3.500","18.2","63.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics of Black America","261
001","13","3.167","23.1","7.7","15.4","15.4","7.7",".",".","23.1",".",".",".",".",".","7.7",".","."
"","300
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
300","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","12","3.208","25.0","25.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","301
001","43","2.384","14.0","14.0","11.6","11.6","20.9","14.0","7.0","7.0",".",".",".",".",".",".",".","."
"","301
002","74","3.265","37.8","16.2","23.0","8.1","6.8","2.7","1.4","2.7","1.4",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","117","2.953","29.1","15.4","18.8","9.4","12.0","6.8","3.4","4.3","0.9",".",".",".",".",".",".","."
"","001
302","70","2.835","20.0","12.9","22.9","20.0","15.7","4.3","1.4","2.9",".",".",".",".",".",".",".","."
"","302
002","74","2.902","17.6","18.9","28.4","12.2","13.5","8.1",".","1.4",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","144","2.871","18.8","16.0","25.7","16.0","14.6","6.3","0.7","2.1",".",".",".",".",".",".",".","."
"The Real Estate Process","306
001","20","2.632","15.0","5.0","15.0","25.0","30.0","5.0",".","5.0",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","310
001","81","2.444","16.0","9.9","14.8","18.5","18.5","14.8","6.2","1.2",".",".",".",".",".",".",".","."
"Intmed Microecon-Math Trtmt","311
001","29","3.429","24.1","37.9","31.0","3.4",".",".",".","3.4",".",".",".",".",".",".",".","."
"Labor Problems","315
001","44","2.849","20.5","11.4","22.7","18.2","20.5","2.3","2.3","2.3",".",".",".",".",".",".",".","."
"Investments","320
001","8","2.688","12.5","12.5","12.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".","."
"","325
001","14","3.385","35.7","14.3","35.7",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"","325
002","9","2.778","11.1","22.2",".","44.4","22.2",".",".",".",".",".",".",".",".",".",".","."
"Public Utilities","Course Total","23","3.136","26.1","17.4","21.7","17.4","13.0",".",".","4.3",".",".",".",".",".",".",".","."
"Money and Banking","330
001","79","2.937","13.9","21.5","29.1","16.5","15.2","3.8",".",".",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","51","3.000","19.6","13.7","29.4","13.7","11.8","3.9",".","5.9",".",".",".",".",".","2.0",".","."
"Survey-Internatl Economics","001
364","115","3.420","45.2","16.5","20.9","6.1","7.8","0.9",".","2.6",".",".",".",".",".",".",".","."
"","390
001","61","2.987","19.7","14.8","31.1","8.2","14.8","4.9",".","6.6",".",".",".",".",".",".",".","."
"","390
005","15","3.451","33.3","26.7","20.0",".","6.7",".",".","13.3",".",".",".",".",".",".",".","."
"","390
009","10","3.397","30.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issue","Course Total","86","3.112","23.3","18.6","29.1","7.0","11.6","3.5",".","7.0",".",".",".",".",".",".",".","."
"Introductory Econometrics","410
001","28","2.752","21.4","3.6","21.4","17.9","32.1","3.6",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quant Mthds-Ag Econ","426
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 190 of 370",""
