"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"557
Issues in Social Philosophy","001","","13","3.692","69.2",".","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"581
Senior Honors Seminar","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"582
Senior Honors Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"681
Senior Honors Thesis","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799
Directed Study","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"830
Advanced Hist of Philosophy","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"835
Advanced History-Philosophy","001","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"920
Smr-Philosophy of Science","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"930
Smr-History of Philosophy","001","","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"953
Aesthetics Seminar","001","","9","3.583","33.3","11.1","22.2",".",".",".",".","22.2",".",".",".",".",".",".","11.1","."
"955
Soc-Pol Phil","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"960
Metaphysics Seminar","001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"961
Smr-Philosophy of Religion","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","35","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"991
Research in Logic","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
