"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"Directed Study","199
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Critical Thinkng & Expressn","200
001","130","3.373","29.2","33.8","30.8","3.8",".",".","2.3",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Philos I","201
001","206","3.127","23.8","23.8","25.7","15.0","8.3","1.5","1.5","0.5",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Phil II","202
001","51","3.196","25.5","17.6","37.3","13.7","3.9","2.0",".",".",".",".",".",".",".",".",".","."
"West Culture:Lit&The Arts I","203
001","183","3.129","26.2","25.7","24.6","8.7","9.3","2.2","2.7",".","0.5",".",".",".",".",".",".","."
"W Cult:Pol,Econ&Soc Thght I","205
001","135","3.094","14.8","23.7","37.8","12.6","8.9",".","0.7","1.5",".",".",".",".",".",".",".","."
"History of Westrn Culture I","207
001","74","3.418","25.7","40.5","24.3","6.8","1.4",".",".",".",".",".",".",".","1.4",".",".","."
"Intro to Global Cultures","209
001","175","3.291","23.4","34.3","30.3","8.0","1.7","1.1","1.1",".",".",".",".",".",".",".",".","."
"Bascom Course","236
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Life Sciences","252
001","200","3.035","22.5","8.5","42.5","6.5","18.0","1.0",".","0.5","0.5",".",".",".",".",".",".","."
"Literature and Science","001
254","59","2.653","18.6","10.2","22.0","18.6","15.3","11.9","3.4",".",".",".",".",".",".",".",".","."
"Contmp Soc Sci:Anal-Soc Iss","255
001","28","3.519","17.9","64.3","14.3",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Senior Seminar","400
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"ILS
500","Dept. Total","1250","3.168","23.8","25.0","30.6","9.5","7.8","1.5","1.3","0.4","0.2",".",".",".","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","581","3.178","23.1","27.4","29.4","9.8","7.2","1.9","1.0",".",".",".",".",".","0.2",".",".","."
"Sophomore","","317","3.206","24.9","24.0","33.8","8.2","6.0","1.3","1.3","0.6",".",".",".",".",".",".",".","."
"Junior","","209","3.058","19.1","22.0","33.5","10.5","11.5","1.0","1.9","0.5",".",".",".",".",".",".",".","."
"Senior","","141","3.198","29.8","22.0","24.1","9.9","8.5","1.4","1.4","1.4","1.4",".",".",".",".",".",".","."
"Undergraduates","","1248","3.167","23.6","25.0","30.6","9.5","7.8","1.5","1.3","0.4","0.2",".",".",".","0.1",".",".","."
"Special","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1250","3.168","23.8","25.0","30.6","9.5","7.8","1.5","1.3","0.4","0.2",".",".",".","0.1",".",".","."
