"","999
095","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","999
098","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","999
104","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Indep Study & Research","Course Total","6","4.000","83.3",".",".",".",".",".",".","16.7","",".",".",".",".","",".",".",".","."
"COMP SCI
266","Dept. Total","3620","3.101","27.0","17.7","20.6","8.7","8.1","3.0","3.1","1.0","",".","8.9","1.5","0.2","",".","0.2","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","440","2.837","13.9","13.4","17.5","5.0","8.4","4.8","4.1",".","",".","27.5","4.8",".","",".","0.5",".","0.2"
"Sophomore","","1034","3.108","23.0","18.5","24.4","8.2","7.2","2.7","3.0",".","",".","11.2","1.6",".","",".","0.2",".","."
"Junior","","705","2.937","18.0","18.9","23.3","13.5","9.9","3.8","3.4","0.1","",".","7.8","1.3",".","",".",".",".","."
"Senior","","665","2.826","17.1","17.7","22.1","12.3","14.7","4.5","4.5","1.4","",".","3.8","1.1",".","",".","0.8",".","."
"Undergraduates","","2844","2.965","19.0","17.6","22.5","10.0","9.8","3.7","3.6","0.4","",".","11.1","1.9",".","",".","0.3",".","0.0"
"Special","","103","3.297","39.8","13.6","21.4","8.7","4.9",".","3.9","1.0","",".","3.9","1.0",".","",".",".","1.9","."
"Graduate","","673","3.669","58.8","18.4","12.2","3.1","1.6","0.1","0.6","4.0","",".",".",".","1.0","",".",".",".","."
"","Dept. Total","3620","3.101","27.0","17.7","20.6","8.7","8.1","3.0","3.1","1.0","",".","8.9","1.5","0.2","",".","0.2","0.1","0.0"
