"","999
017","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
027","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
044","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","15","4.000","40.0",".",".",".",".",".",".","60.0","",".",".","",".",".",".",".",".","."
"POLI SCI
778","Dept. Total","3814","3.067","18.8","23.9","27.9","15.4","9.0","1.7","0.9","1.3","",".","0.0","",".","0.6","0.2","0.2","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","640","2.844","12.0","19.2","27.7","21.3","14.5","4.5","0.8",".","",".",".","",".",".",".",".",".","."
"Sophomore","","938","2.950","15.8","19.9","29.4","18.0","13.2","2.1","1.3",".","",".",".","",".",".","0.1","0.1",".","."
"Junior","","1051","3.124","16.7","27.7","32.4","12.7","7.9","0.8","0.9","0.4","",".","0.1","",".",".","0.2","0.3",".","."
"Senior","","922","3.167","19.7","28.6","28.0","15.7","4.6","0.9","1.0","0.9","",".",".","",".","0.2","0.1","0.3",".","."
"Undergraduates","","3551","3.038","16.4","24.4","29.6","16.4","9.6","1.8","1.0","0.3","",".","0.0","",".","0.1","0.1","0.2",".","."
"Special","","27","3.390","29.6","14.8","18.5",".","7.4",".",".","18.5","",".",".","",".",".","3.7",".","7.4","."
"Graduate","","236","3.789","53.8","17.8","2.5","2.5","0.4",".",".","14.4","",".",".","",".","8.1","0.4",".",".","."
"","Dept. Total","3814","3.067","18.8","23.9","27.9","15.4","9.0","1.7","0.9","1.3","",".","0.0","",".","0.6","0.2","0.2","0.1","."
