"GEOLOGICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301
001","10","3.111","10.0","20.0","40.0","20.0",".",".",".",".",".",".",".",".",".","10.0",".","."
"Elec-op&Micro Remote Sensng","302
001","8","3.063","12.5","12.5","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303
001","12","2.667","8.3",".","33.3","33.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Geological Engr","401
002","6","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rock Mechanics","474
001","19","3.500","42.1","21.1","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Field Methods-Geol Engr","476
001","13","2.917","15.4","46.2","15.4",".",".",".","15.4",".",".",".",".",".",".",".","7.7","."
"Geological Engr Analysis","477
001","6","2.917",".","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geol Engr Design","478
001","10","2.900","20.0","60.0",".",".",".",".","20.0",".",".",".",".",".",".",".",".","."
"Seepage and Slopes","530
001","12","3.000",".","25.0","58.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Remediation Geotechnics","535
001","9","3.111","22.2",".","66.7",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Tunneling","577
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hydrogeology","627
001","28","3.125","14.3","25.0","35.7","21.4","3.6",".",".",".",".",".",".",".",".",".",".","."
"","790
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","890
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","3","***","","","","","","","","","","","","","","","",""
"Seminar","001
900","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","990
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","5","***","","","","","","","","","","","","","","","",""
"Independent Work","999
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"G L E
418","Dept. Total","162","3.151","22.8","24.1","29.0","10.5","6.2",".","2.5","3.7",".",".",".",".",".","0.6","0.6","."
