"","999
071","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
076","6","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".",".",".",".","."
"","999
080","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Study","Course Total","78","3.933","93.6","2.6",".",".",".",".","2.6",".","",".",".","",".","1.3",".",".",".","."
"ART
168","Dept. Total","2012","3.647","57.8","24.4","12.3","2.2","1.0","0.3","0.7","0.5","",".",".","",".","0.0","0.2","0.1",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","246","3.422","27.6","41.5","24.0","4.9","0.8","0.8","0.4",".","",".",".","",".",".",".",".",".","."
"Sophomore","","343","3.552","43.1","34.4","16.0","3.8","1.2","0.3","0.6","0.3","",".",".","",".",".","0.3",".",".","."
"Junior","","410","3.557","49.0","28.5","15.4","2.7","2.0",".","1.7","0.2","",".",".","",".",".",".",".",".","0.5"
"Senior","","528","3.686","61.7","22.0","10.8","1.5","1.3","0.8","0.4","1.3","",".",".","",".",".",".",".",".","0.2"
"Undergraduates","","1527","3.578","48.7","29.7","15.3","2.9","1.4","0.5","0.8","0.6","",".",".","",".",".","0.1",".",".","0.2"
"Special","","59","3.655","67.8","11.9","8.5","1.7",".",".","5.1",".","",".",".","",".",".","5.1",".",".","."
"Graduate","","426","3.939","89.2","7.3","1.9",".",".",".",".","0.2","",".",".","",".","0.2","0.2","0.5",".","0.5"
"","Dept. Total","2012","3.647","57.8","24.4","12.3","2.2","1.0","0.3","0.7","0.5","",".",".","",".","0.0","0.2","0.1",".","0.2"
