"","990
027","4","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
030","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","45","3.765","48.9","2.2",".","2.2",".",".","2.2","26.7","2.2",".","",".","15.6",".",".",".","."
"Seminar: Geophysics","991
001","11","",".",".",".",".",".",".",".","100.0",".",".",".","",".",".",".",".","."
"GEOLOGY
420","Dept. Total","1182","2.847","20.3","15.8","18.4","14.0","17.0","6.2","2.2","4.3","0.1","0.1","",".","0.8","0.2","0.1","0.3","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","258","2.626","15.1","12.8","20.2","14.7","24.0","8.5","4.3",".",".",".","",".",".",".",".",".","0.4"
"Sophomore","","295","2.759","14.9","12.9","23.7","18.3","21.4","6.4","1.7",".",".",".","",".",".","0.3",".",".","0.3"
"Junior","","227","2.800","18.5","17.6","19.8","15.4","17.6","7.5","2.2","0.4",".",".","",".",".","0.4","0.4",".","."
"Senior","","234","2.883","21.4","21.4","17.1","15.0","14.5","6.4","1.7","1.7",".",".","",".","0.9",".",".",".","."
"Undergraduates","","1014","2.757","17.3","15.9","20.4","16.0","19.6","7.2","2.5","0.5",".",".","",".","0.2","0.2","0.1",".","0.2"
"Special","","32","3.458","25.0","25.0","18.8","3.1",".",".",".","15.6",".",".","",".",".",".",".","12.5","."
"Graduate","","136","3.667","41.9","13.2","3.7","2.2","1.5",".","0.7","30.1","0.7","0.7","",".","5.1",".",".",".","."
"","Dept. Total","1182","2.847","20.3","15.8","18.4","14.0","17.0","6.2","2.2","4.3","0.1","0.1","",".","0.8","0.2","0.1","0.3","0.2"
