"Wrkshp Ind Rel Rsch","960
001","","8","",".",".",".",".",".","",".",".","87.5",".","",".",".","",".","",".","","12.5",".","."
"","990
009","","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
051","","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research and Thesis","Course Total","","4","***","","","","","","","","","","","","","","","","","","","","",""
"IND REL
492","Dept. Total","","90","3.494","44.4","21.1","16.7","2.2","4.4","",".","1.1","8.9","",".",".","",".","",".","",".","1.1",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"492
IND REL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","1","0.000",".",".",".",".",".","",".","100.0",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","5","2.971","40.0","20.0",".",".","40.0","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","6","2.525","33.3","16.7",".",".","33.3","",".","16.7",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","83","3.575","44.6","21.7","18.1","2.4","2.4","",".",".","9.6","",".",".","",".","",".","",".","1.2",".","."
"Prof Yr 3","","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","90","3.494","44.4","21.1","16.7","2.2","4.4","",".","1.1","8.9","",".",".","",".","",".","",".","1.1",".","."
