"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"912","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Research-Drawing","Course Total","","12","3.880","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"914","020","","17","3.957","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"914","034","","7","3.875","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"914","057","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"914","058","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Research-Sculpture","Course Total","","54","3.973","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","018","","8","3.952","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","021","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"922","046","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","058","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Research-Painting","Course Total","","41","3.970","95.1","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"924","003","","8","3.912","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"924","076","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"Advanced Research-Ceramics","Course Total","","14","3.948","85.7","7.1",".",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"944","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"944","031","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Research-Art Metal","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"996","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"996","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"996","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"996","071","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Research-Graphics","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","044","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","057","","9","3.765","88.9",".",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 78 of 370"
