"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice of Industrial Engr","191","001","","33","4.000","97.0",".",".",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","87","3.483","43.7","24.1","23.0","8.0",".",".","1.1",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","","41","3.341","22.0","39.0","26.8","9.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Simulation","322","001","","19","3.421","26.3","42.1","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","","51","2.990","33.3","13.7","13.7","11.8","21.6","3.9","2.0",".",".",".",".",".",".",".",".","."
"Oper Rsch-Stochastic Modelg","324","001","","16","3.531","50.0","25.0","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","48","3.229","25.0","14.6","47.9","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","43","3.279","32.6","23.3","23.3","9.3","11.6",".",".",".",".",".",".",".",".",".",".","."
"Theory of Design I","466","001","","26","3.288","26.9","15.4","46.2","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Planning","510","001","","26","3.462","30.8","38.5","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","","40","3.200","7.5","40.0","40.0","10.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515","001","","27","3.500","37.0","22.2","29.6","3.7",".",".",".","7.4",".",".",".",".",".",".",".","."
"Intro to Decision Analysis","516","001","","23","3.609","43.5","34.8","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","6","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Factors Engr Dsgn&Eval","552","001","","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ergonomcs-Manufact&Industry","564","001","","16","3.469","25.0","43.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Quality Engineering","575","001","","95","3.729","61.1","28.4","8.4",".",".",".","1.1","1.1",".",".",".",".",".",".",".","."
"Cmptr Integratd Manufactrng","605","001","","41","3.573","43.9","36.6","9.8","9.8",".",".",".",".",".",".",".",".",".",".",".","."
"Multiple Criteria Evaluatn","613","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","632","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","632","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Sim Model&Analy-Ind Eng Sys","642","001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Performnc Anal-Manufact Sys","643","001","","9","3.643","22.2","55.6",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Organization and Job Design","653","001","","20","3.750","60.0","35.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Tech Chng-Mfg Syst","658","001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn & Hum Disablty & Aging","662","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","003","","14","3.692","42.9","42.9","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Spec Topics Industrial Engr","","Course Total","","23","3.750","56.5","30.4","8.7",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","699","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","","37","3.526","40.5","32.4","16.2","8.1","2.7",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 126 of 370",""
