"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","45","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001","21","3.333","28.6","38.1","19.0","9.5",".","4.8",".",".",".",".",".",".",".",".",".","."
"","160
002","17","2.750","11.8","23.5","17.6",".","35.3","5.9",".","5.9",".",".",".",".",".",".",".","."
"","004
160","16","3.250","31.3","37.5","12.5",".","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","54","3.132","24.1","33.3","16.7","3.7","14.8","5.6",".","1.9",".",".",".",".",".",".",".","."
"","170
001","19","3.500","52.6","26.3","5.3",".","15.8",".",".",".",".",".",".",".",".",".",".","."
"","170
002","22","3.568","50.0","40.9","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","004
170","24","3.604","58.3","8.3","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","65","3.562","53.8","24.6","13.8","1.5","4.6",".","1.5",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","001
231","119","3.004","20.2","21.0","28.6","13.4","11.8","3.4","1.7",".",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","001
232","91","3.143","20.9","27.5","26.4","16.5","6.6","1.1","1.1",".",".",".",".",".",".",".",".","."
"","240
002","20","2.925","20.0","20.0","30.0","5.0","20.0",".","5.0",".",".",".",".",".",".",".",".","."
"","240
003","10","2.000","10.0",".","30.0","20.0",".","20.0","20.0",".",".",".",".",".",".",".",".","."
"","240
004","18","2.250","5.6","11.1","33.3","5.6","22.2","5.6","16.7",".",".",".",".",".",".",".",".","."
"","240
005","18","2.833","16.7","16.7","11.1","27.8","27.8",".",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","66","2.576","13.6","13.6","25.8","13.6","19.7","4.5","9.1",".",".",".",".",".",".",".",".","."
"","291
006","16","3.194","12.5","25.0","50.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","291
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","Course Total","17","3.237","17.6","23.5","47.1","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299
050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
001","13","2.654","7.7","23.1","15.4","15.4","30.8","7.7",".",".",".",".",".",".",".",".",".","."
"","306
002","17","2.765","11.8","5.9","29.4","29.4","23.5",".",".",".",".",".",".",".",".",".",".","."
"","306
004","22","2.818","13.6","13.6","18.2","31.8","22.7",".",".",".",".",".",".",".",".",".",".","."
"","306
005","11","2.682",".","18.2","18.2","45.5","18.2",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","63","2.746","9.5","14.3","20.6","30.2","23.8","1.6",".",".",".",".",".",".",".",".",".","."
"","307
001","13","3.077","23.1","15.4","30.8","15.4","15.4",".",".",".",".",".",".",".",".",".",".","."
"","307
002","11","3.318","45.5","9.1","36.4",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","307
003","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","9","3.278","11.1","33.3","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","13","3.192","23.1","23.1","38.5",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","006
307","17","3.235","41.2","11.8","23.5","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","72","3.257","31.9","19.4","31.9","6.9","6.9","2.8",".",".",".",".",".",".",".",".",".","."
"","313
001","36","3.194","16.7","36.1","22.2","19.4","5.6",".",".",".",".",".",".",".",".",".",".","."
"","313
002","36","3.167","30.6","22.2","22.2","11.1","8.3","5.6",".",".",".",".",".",".",".",".",".","."
"","313
003","34","3.221","20.6","41.2","17.6","14.7","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","106","3.193","22.6","33.0","20.8","15.1","5.7","1.9","0.9",".",".",".",".",".",".",".",".","."
"","314
001","30","3.083","6.7","23.3","53.3","13.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"","314
002","28","3.036",".","42.9","35.7","14.3","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"","314
003","20","3.250","5.0","50.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Competitv Manufactrng","Course Total","78","3.109","3.8","37.2","42.3","12.8","2.6","1.3",".",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","001
340","80","2.581","10.0","11.3","22.5","30.0","15.0","6.3","5.0",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","001
342","77","2.513","7.8","10.4","24.7","15.6","31.2","5.2","3.9","1.3",".",".",".",".",".",".",".","."
"","349
001","12","2.917",".",".","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","349
002","14","2.821",".","28.6","35.7","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 129 of 370",""
