"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Family Law I","822
001","60","3.627","45.0","20.0","16.7","3.3",".",".",".","15.0",".",".",".",".",".",".",".","."
"Family Law II","823
001","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Law","827
001","25","3.563","48.0","12.0","36.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"International Transactions","828
001","12","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jurisprudence","829
001","33","3.697","42.4","54.5","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Land Use Controls","830
001","16","3.531","25.0","56.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mod American Legal History","831
001","78","3.569","41.0","2.6","30.8",".",".",".",".","25.6",".",".",".",".",".",".",".","."
"Taxation of Trusts&Estates","844
001","16","3.591","37.5","6.3","25.0",".",".",".",".","31.3",".",".",".",".",".",".",".","."
"Environ Law & Institutions","848
001","26","3.609","34.6","38.5","15.4",".",".",".",".","11.5",".",".",".",".",".",".",".","."
"","850
001","63","3.433","28.6","20.6","28.6","3.2",".","1.6",".","17.5",".",".",".",".",".",".",".","."
"","850
002","40","3.500","47.5","10.0","30.0","2.5",".","2.5",".","7.5",".",".",".",".",".",".",".","."
"","850
003","28","3.554","46.4","17.9","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","131","3.481","38.2","16.8","30.5","2.3",".","1.5",".","10.7",".",".",".",".",".",".",".","."
"","852
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","852
002","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
003","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
004","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
005","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","852
007","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","70","3.695","12.9","7.1","4.3",".",".",".",".","75.7",".",".",".",".",".",".",".","."
"","854
001","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
003","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
004","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
006","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
007","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Program","Course Total","70","4.000","1.4",".",".",".",".",".",".","98.6",".",".",".",".",".",".",".","."
"Advanced Criminal Procedure","860
001","24","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutionalized Persons","862
001","56","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Internatl Trade & Investmnt","871
001","23","3.381","47.8","8.7","26.1",".","4.3",".","4.3","8.7",".",".",".",".",".",".",".","."
"Wis Environmntl Law Journal","894
001","35","",".",".",".",".",".",".",".","97.1",".",".",".",".","2.9",".",".","."
"Wisconsin Internl Law Journ","895
001","57","",".",".",".",".",".",".",".","98.2",".",".",".",".","1.8",".",".","."
"Womens Law Journal","896
001","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","75","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","904
001","22","3.614","45.5","31.8","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","904
002","14","3.464","35.7","21.4","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","904
003","15","3.467","40.0","13.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law Seminar","Course Total","51","3.521","41.2","23.5","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bioethics and the Law","905
001","30","3.717","56.7","30.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 311 of 370",""
