"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"230
Soil: Ecosystem & Resource","001","","60","3.483","53.3","15.0","15.0","11.7","3.3","1.7",".",".",".",".",".",".",".",".",".","."
"299","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"301
General Soil Science","001","","61","2.808","9.8","14.8","31.1","23.0","14.8","4.9",".","1.6",".",".",".",".",".",".",".","."
"305
Field Study of Soil","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"323
Soil Biology","001","","18","3.250","33.3","22.2","27.8","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"324
Soils and Envrnmtl Quality","001","","20","3.526","35.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"325
Soil Morphol,Class&Mapping","001","","28","3.696","64.3","10.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"332
Nutrient Managmnt:Turfgrass","001","","16","2.906","18.8","18.8","31.3","12.5","12.5",".","6.3",".",".",".",".",".",".",".",".","."
"333
Nutrnt Mgmnt:Hortcltr Crops","001","","8","3.786","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"334
Nutrnt Mgmt:Agronomic Crops","001","","10","3.150","30.0","40.0","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"336
Nutrnt Mgmt: Nursery Trees","001","","8","3.357","25.0","25.0","25.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"425
Environmental Microbiology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"532
Environmental Biophysics","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"622
Soil Physics","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"628
Proseminar","001","","26","3.538","34.6","42.3","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"695
Applictn of GIS:Natrl Rsrcs","001","","9","3.389","33.3","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","9","3.714","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"728
Graduate Seminar","001","","27","3.700","7.4","11.1",".",".",".",".",".","81.5",".",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","29","3.877","34.5",".","3.4",".",".",".",".","55.2",".",".",".","6.9",".",".",".","."
