"NUR","","","","","","","","","","","","","","","","","","","","","","",""
"NURSING","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","","","","",""
"NURSING
692","Dept. Total","1317","3.633","52.3","25.0","11.5","3.8","1.7","",".","",".","1.0","",".","4.5","",".","0.1","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","3.676","58.8","17.6","5.9","5.9","5.9","",".","",".",".","",".",".","",".",".","5.9",".",".","."
"Sophomore","","57","3.426","38.6","35.1","17.5","7.0","1.8","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","215","3.585","42.8","25.1","16.3","2.3","1.4","",".","",".",".","",".","12.1","",".",".",".",".",".","."
"Senior","","692","3.602","50.0","25.7","11.7","5.3","2.2","",".","",".","0.3","",".","4.8","",".",".",".",".",".","."
"Undergraduates","","981","3.591","47.9","26.0","12.9","4.8","2.0","",".","",".","0.2","",".","6.0","",".",".","0.1",".",".","."
"Special","","10","3.466","30.0","40.0","20.0","10.0",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","324","3.782","66.0","21.6","7.1","0.6","0.6","",".","",".","3.4","",".",".","",".","0.3","0.3",".",".","."
"Prof Yr 3","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1317","3.633","52.3","25.0","11.5","3.8","1.7","",".","",".","1.0","",".","4.5","",".","0.1","0.2",".",".","."
