"JEWISH STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","",""
"Jewish Composers-Modern Era","236
001","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biblical Lit","361
001","19","2.737","5.3","26.3","26.3","15.8","15.8","10.5",".",".",".",".",".",".",".",".",".","."
"Hebrew Lit(in Eng)Medvl-Mod","362
001","17","3.265","5.9","41.2","52.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Israeli Fiction-Translation","367
001","44","3.170","27.3","13.6","34.1","15.9","9.1",".",".",".",".",".",".",".",".",".",".","."
"Jewish Cultural History","472
001","57","3.063","22.8","17.5","28.1","7.0","22.8",".",".","1.8",".",".",".",".",".",".",".","."
"Topics in Jewish Studies","490
001","20","3.275","20.0","35.0","35.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Jewish Law and Ethics","613
001","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"JEWISH
510","Dept. Total","176","3.155","23.3","22.2","31.8","8.5","12.5","1.1",".","0.6",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","46","2.975","21.7","19.6","21.7","15.2","17.4","4.3",".",".",".",".",".",".",".",".",".","."
"Junior","","56","3.129","21.4","16.1","39.3","10.7","12.5",".",".",".",".",".",".",".",".",".",".","."
"Senior","","70","3.273","24.3","30.0","31.4","2.9","10.0",".",".","1.4",".",".",".",".",".",".",".","."
"Undergraduates","","176","3.155","23.3","22.2","31.8","8.5","12.5","1.1",".","0.6",".",".",".",".",".",".",".","."
"","Dept. Total","176","3.155","23.3","22.2","31.8","8.5","12.5","1.1",".","0.6",".",".",".",".",".",".",".","."
