"L&S","","","","","","","","","","","","","","","","","","","",""
"SPANISH (SPANISH AND PORTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"335
Old Spanish","001","","15","3.500","40.0","33.3","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"351
College Teaching of Spanish","001","","19","3.750","63.2","26.3",".",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"361
Spanish Civilization","001","","31","3.265","19.4","19.4","51.6",".","3.2",".",".",".",".",".",".",".",".","3.2","3.2","."
"462
Spanish Am Theater & Drama","001","","19","3.331","31.6","26.3","26.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"465
Lit&Film in Spanish America","001","","28","3.571","46.4","32.1","10.7","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"502
Surv-Sp Am Lit:Modrn-Presnt","001","","21","3.857","81.0","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"513
Literatura Del Siglo de Oro","001","","13","3.452","30.8","46.2","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"514
Lit Espanola Del Siglo XIX","001","","7","3.595","57.1",".","14.3","14.3",".",".",".",".",".",".",".",".",".","14.3",".","."
"516","001","","15","3.798","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"516","002","","9","2.617","11.1","11.1","44.4",".","11.1","22.2",".",".",".",".",".",".",".",".",".","."
"Literatura Hispanoamericana","Course Total","","24","3.366","41.7","29.2","16.7",".","4.2","8.3",".",".",".",".",".",".",".",".",".","."
"681","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"682","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699
Directed Study","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"701","002","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textual Criticism","Course Total","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"754
Seminar in Golden Age Prose","001","","10","3.889","70.0","20.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"801
Smr-Spanish American Lit","001","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"982
Smr-Latin American Area","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"990","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","39","3.917","28.2",".","2.6",".",".",".",".","53.8",".",".",".","15.4",".",".",".","."
