"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"GREEK","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","3","1.833",".",".",".","33.3","33.3","33.3","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","10","3.757","60.0","30.0","10.0",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","","9","3.056","33.3","11.1","22.2","22.2",".","11.1","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","10","3.694","60.0","20.0","20.0",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","32","3.339","46.9","18.8","15.6","9.4","3.1","6.3","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","","4","4.000","25.0",".",".",".",".",".","",".","25.0","",".",".","",".","",".","25.0",".","25.0","."
"Graduate","","","35","3.794","68.6","17.1","11.4",".",".",".","",".","2.9","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","71","3.555","56.3","16.9","12.7","4.2","1.4","2.8","",".","2.8","",".",".","",".","",".","1.4",".","1.4","."
