"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","","",""
"PHM","College Total","1733","3.272","37.4","18.9","20.2","11.9","6.6","0.6","0.5","0.8","",".","2.7",".","0.3","",".",".",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"PHM","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Sophomore","","513","3.017","26.7","13.5","28.3","20.5","10.5","0.4","0.2",".","",".",".",".",".","",".",".",".","."
"Junior","","466","3.467","43.1","26.8","15.7","6.4","3.2","0.4","0.4",".","",".","3.9",".",".","",".",".",".","."
"Senior","","221","3.207","34.8","20.4","21.7","7.7","7.7","2.3","2.3",".","",".","3.2",".",".","",".",".",".","."
"Undergraduates","","1200","3.223","34.6","19.9","22.2","12.7","7.2","0.8","0.7",".","",".","2.1",".",".","",".",".",".","."
"Special","","59","3.637","64.4","15.3","8.5","8.5",".","1.7",".","1.7","",".",".",".",".","",".",".",".","."
"Graduate","","139","3.892","77.0","3.6","5.8","0.7",".",".",".","8.6","",".",".",".","4.3","",".",".",".","."
"Prof Yr 1","","335","3.045","29.3","28.4","19.7","13.4","8.1","0.3",".",".","",".","0.6",".","0.3","",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","47","3.511","42.6","17.0","17.0","8.5",".",".",".",".","",".","14.9",".",".","",".",".",".","."
"Prof Yr 4","","60","3.786","51.7","16.7","6.7",".","3.3",".",".",".","",".","21.7",".",".","",".",".",".","."
"Professionals","","443","3.242","33.9","25.5","17.6","11.1","6.5","0.2",".",".","",".","5.0",".","0.2","",".",".",".","."
"","College Total","1841","3.272","38.6","19.9","19.4","11.2","6.2","0.6","0.4","0.7","",".","2.6",".","0.4","",".",".",".","."
