"Smr-Latin American Area","982
001","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
025","2","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
032","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Thesis","Course Total","3","***","","","","","","","","","","","","","","","","","","",""
"PORTUG
782","Dept. Total","226","3.233","39.8","18.1","17.7","6.6","11.5","2.2","1.3","1.3","0.4","0.9","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","3.000","25.0","25.0","25.0",".","25.0",".",".",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","52","2.814","30.8","5.8","21.2","7.7","26.9","3.8","3.8",".",".",".","",".","",".","",".",".",".","."
"Junior","","71","3.190","32.4","25.4","16.9","9.9","12.7","1.4","1.4",".",".",".","",".","",".","",".",".",".","."
"Senior","","58","3.422","48.3","17.2","20.7","6.9","3.4","3.4",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","185","3.147","36.8","17.3","19.5","8.1","14.1","2.7","1.6",".",".",".","",".","",".","",".",".",".","."
"Special","","3","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Graduate","","38","3.784","55.3","21.1","7.9",".",".",".",".","7.9","2.6","5.3","",".","",".","",".",".",".","."
"","Dept. Total","226","3.233","39.8","18.1","17.7","6.6","11.5","2.2","1.3","1.3","0.4","0.9","",".","",".","",".",".",".","."
