"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","203
008","23","3.370","30.4","21.7","43.5",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","203
009","24","3.313","20.8","29.2","45.8",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","010
203","24","2.826","20.8","16.7","20.8","8.3","20.8","4.2","4.2","4.2",".",".",".",".",".",".",".","."
"","203
011","23","3.045","13.0","26.1","30.4","8.7","17.4",".",".","4.3",".",".",".",".",".",".",".","."
"","012
203","24","3.375","37.5","25.0","29.2",".","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","014
203","23","2.804","26.1","17.4","17.4","13.0","13.0","4.3","8.7",".",".",".",".",".",".",".",".","."
"","203
015","24","3.217","20.8","29.2","25.0","12.5","8.3",".",".","4.2",".",".",".",".",".",".",".","."
"","016
203","21","2.714","14.3","4.8","33.3","23.8","14.3","9.5",".",".",".",".",".",".",".",".",".","."
"","203
017","22","2.932","13.6","9.1","40.9","22.7","13.6",".",".",".",".",".",".",".",".",".",".","."
"","018
203","21","3.262","33.3","28.6","14.3","4.8","19.0",".",".",".",".",".",".",".",".",".",".","."
"","203
019","24","3.043","12.5","25.0","29.2","16.7","12.5",".",".","4.2",".",".",".",".",".",".",".","."
"","203
020","24","3.250","12.5","29.2","54.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","203
021","23","3.304","30.4","21.7","34.8","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"","203
022","23","2.957","21.7","34.8","13.0","8.7","8.7","8.7","4.3",".",".",".",".",".",".",".",".","."
"","203
023","24","3.146","25.0","16.7","37.5","4.2","16.7",".",".",".",".",".",".",".",".",".",".","."
"","203
024","22","2.932","9.1","9.1","54.5","13.6","13.6",".",".",".",".",".",".",".",".",".",".","."
"","203
025","22","2.762","9.1","13.6","40.9","13.6","9.1","4.5","4.5","4.5",".",".",".",".",".",".",".","."
"","203
026","20","2.700","20.0","5.0","35.0","5.0","20.0","15.0",".",".",".",".",".",".",".",".",".","."
"","203
027","23","3.217","13.0","39.1","34.8","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"","028
203","23","3.174","26.1","17.4","39.1","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"Third Semester Spanish","Course Total","620","3.107","24.5","20.3","30.8","9.0","10.6","2.3","1.5","1.0",".",".",".",".",".",".",".","."
"","204
001","25","3.545","48.0","24.0","20.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","002
204","24","3.229","8.3","41.7","41.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","204
005","23","3.348","30.4","34.8","13.0","17.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"","204
006","20","3.500","30.0","50.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","007
204","24","2.854","12.5","29.2","25.0",".","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"","204
009","22","3.341","22.7","36.4","27.3","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","204
010","24","3.208","12.5","41.7","33.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","204
011","23","3.457","39.1","30.4","21.7",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","204
012","23","2.818","13.0","13.0","43.5","13.0",".","8.7","4.3","4.3",".",".",".",".",".",".",".","."
"","013
204","22","2.659","18.2","13.6","27.3","9.1","18.2","4.5","9.1",".",".",".",".",".",".",".",".","."
"","204
014","24","3.542","45.8","16.7","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
016","23","3.196","21.7","26.1","43.5","4.3",".",".","4.3",".",".",".",".",".",".",".",".","."
"","204
017","23","3.370","8.7","56.5","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
018","23","3.174","34.8","4.3","34.8","13.0","13.0",".",".",".",".",".",".",".",".",".",".","."
"","204
019","24","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
020","23","3.000","26.1","13.0","34.8","4.3","17.4",".","4.3",".",".",".",".",".",".",".",".","."
"","204
022","22","3.405","22.7","40.9","22.7","9.1",".",".",".","4.5",".",".",".",".",".",".",".","."
"Fourth Semester Spanish","Course Total","392","3.250","25.8","29.6","29.6","5.4","6.6","1.3","1.3","0.5",".",".",".",".",".",".",".","."
"Spanish for Spanish Speaker","206
001","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","220
001","17","3.059","41.2","11.8","23.5",".","11.8","5.9","5.9",".",".",".",".",".",".",".",".","."
"","220
002","19","3.474","42.1","10.5","47.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","220
003","18","2.972","16.7","27.8","27.8","11.1","5.6","11.1",".",".",".",".",".",".",".",".",".","."
"","220
004","15","3.167","20.0","20.0","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Elem Survey-Spanish Am Lit","Course Total","69","3.174","30.4","17.4","34.8","5.8","5.8","4.3","1.4",".",".",".",".",".",".",".",".","."
