"L&S","","","","","","","","","","","","","","","","","","","","",""
"ATMOSPHERIC & OCEANIC SCIE Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","",""
"Course Total
Research","37","3.911","64.9","2.7","2.7",".",".",".",".","27.0","",".",".","",".","2.7","",".",".",".","."
"999
011","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"999
018","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Course Total
Advanced Independent Study","2","***","","","","","","","","","","","","","","","","","","",""
"ATM OCN
Dept. Total
640","718","3.065","27.0","16.3","22.0","15.7","11.3","2.2","1.3","1.8","",".","2.1","",".","0.1","",".","0.1",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","124","2.895","15.3","17.7","27.4","17.7","17.7","1.6","1.6",".","",".",".","",".",".","",".","0.8",".","."
"Sophomore","207","2.957","21.7","13.0","26.1","22.7","13.0","1.9","1.0",".","",".","0.5","",".",".","",".",".",".","."
"Junior","145","2.985","26.9","20.0","19.3","16.6","9.0","4.8","2.8",".","",".","0.7","",".",".","",".",".",".","."
"Senior","118","3.009","24.6","16.1","20.3","14.4","15.3","2.5","0.8","2.5","",".","3.4","",".",".","",".",".",".","."
"Undergraduates","594","2.960","22.2","16.3","23.6","18.5","13.5","2.7","1.5","0.5","",".","1.0","",".",".","",".","0.2",".","."
"Special","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","123","3.681","50.4","16.3","13.8","2.4","0.8",".",".","8.1","",".","7.3","",".","0.8","",".",".",".","."
"Dept. Total","718","3.065","27.0","16.3","22.0","15.7","11.3","2.2","1.3","1.8","",".","2.1","",".","0.1","",".","0.1",".","."
