"","999
066","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
072","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
107","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","10","4.000","20.0",".",".",".",".",".",".","80.0","",".",".",".",".",".",".",".","."
"ENGLISH
350","Dept. Total","5746","3.337","27.2","27.2","24.7","7.6","2.8","0.6","0.7","1.3","",".","7.0","0.1","0.3","0.1","0.2","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1761","3.293","23.6","30.2","29.3","7.9","3.6","0.5","0.7",".","",".","4.3",".",".",".",".",".","."
"Sophomore","","1321","3.247","20.6","30.1","32.2","10.1","3.1","0.6","0.7",".","",".","2.3",".",".",".","0.2",".","0.1"
"Junior","","1060","3.322","26.9","31.2","27.5","7.4","2.4","0.6","1.0",".","",".","2.5",".",".","0.3","0.3",".","."
"Senior","","852","3.355","35.1","26.9","18.8","9.5","4.0","1.2","0.9","1.2","",".","1.4",".",".","0.2","0.7",".","0.1"
"Undergraduates","","4994","3.297","25.5","29.8","27.9","8.7","3.3","0.6","0.8","0.2","",".","2.9",".",".","0.1","0.2",".","0.0"
"Special","","197","3.637","18.3","8.1","5.6",".",".",".","0.5","4.1","",".","58.4","1.5",".","1.0","0.5","1.5","0.5"
"Graduate","","551","3.851","46.8","10.9","3.1","0.4",".",".",".","10.0","",".","25.6","0.2","3.1",".",".",".","."
"Prof Yr 1","","4","",".",".",".",".",".",".",".",".","",".","100.0",".",".",".",".",".","."
"Professionals","","4","",".",".",".",".",".",".",".",".","",".","100.0",".",".",".",".",".","."
"","Dept. Total","5746","3.337","27.2","27.2","24.7","7.6","2.8","0.6","0.7","1.3","",".","7.0","0.1","0.3","0.1","0.2","0.1","0.1"
