"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"100
Survey of Astronomy","001","","144","2.858","25.0","6.9","33.3","7.6","18.1","6.3","2.8",".",".",".",".",".",".",".",".","."
"103","001","","131","2.615","17.6","5.3","28.2","6.9","30.5","7.6","3.1","0.8",".",".",".",".",".",".",".","."
"103","002","","130","2.774","19.2","13.8","24.6","6.9","22.3","7.7","2.3",".","0.8",".",".",".",".","1.5","0.8","."
"The Evolving Universe","Course Total","","261","2.693","18.4","9.6","26.4","6.9","26.4","7.7","2.7","0.4","0.4",".",".",".",".","0.8","0.4","."
"104
Exploration of Solar System","001","","128","2.651","10.9","7.8","32.0","4.7","40.6","0.8","1.6","0.8",".",".",".",".",".",".","0.8","."
"113","001","","20","3.725","60.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"113","002","","24","3.739","58.3","25.0","12.5",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"113","003","","20","3.875","85.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"113","004","","20","3.675","65.0","10.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"113","005","","23","3.609","69.6","17.4","4.3",".","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"Hands on the Universe","Course Total","","107","3.722","67.3","16.8","12.1","0.9","0.9",".","0.9",".",".",".",".",".",".","0.9",".","."
"150
Topics in Astronomy","001","","29","2.845","13.8","13.8","20.7","31.0","20.7",".",".",".",".",".",".",".",".",".",".","."
"310
Stellar Astrophysics","001","","14","3.154","21.4","35.7",".","21.4","14.3",".",".",".",".",".",".",".",".","7.1",".","."
"550
Astrodynamics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"700
Basic Astrophysics","001","","8","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"730
Galaxies","001","","7","3.357","14.3","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920
Smnar-Astrophysical Topics","001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","15","3.833","26.7",".","6.7",".",".",".",".","66.7",".",".",".",".",".",".",".","."
