"Pre-Dissertator Research","Course Total","6","4.000","66.7",".",".",".",".",".",".","16.7","",".",".","",".","16.7","",".",".",".","."
"","990
009","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
040","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research and Thesis","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"E M A
346","Dept. Total","524","2.660","15.1","12.2","26.9","10.5","23.1","6.7","4.4","0.6","",".",".","",".","0.6","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","21","2.320","19.0","9.5","19.0","4.8","23.8","9.5","14.3",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","186","2.394","13.4","5.9","25.8","5.9","31.7","9.7","7.5",".","",".",".","",".",".","",".",".",".","."
"Junior","","157","2.747","15.3","15.9","24.8","10.8","25.5","5.7","1.9",".","",".",".","",".",".","",".",".",".","."
"Senior","","106","2.720","13.2","13.2","29.2","22.6","13.2","5.7","2.8",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","470","2.580","14.3","11.1","26.0","11.3","25.1","7.4","4.9",".","",".",".","",".",".","",".",".",".","."
"Special","","6","3.250","33.3",".","50.0","16.7",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","48","3.372","20.8","25.0","33.3","2.1","6.3",".",".","6.3","",".",".","",".","6.3","",".",".",".","."
"","Dept. Total","524","2.660","15.1","12.2","26.9","10.5","23.1","6.7","4.4","0.6","",".",".","",".","0.6","",".",".",".","."
