"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"Accounting Systems","Course Total","98","3.056","11.2","14.3","59.2","5.1","10.2",".",".",".",".",".",".",".",".",".",".","."
"","001
406","15","3.367","33.3","20.0","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
406","39","3.205","28.2","28.2","23.1","7.7","10.3",".","2.6",".",".",".",".",".",".",".",".","."
"","406
003","35","3.343","31.4","20.0","34.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Accounting","Course Total","89","3.287","30.3","23.6","29.2","11.2","4.5",".","1.1",".",".",".",".",".",".",".",".","."
"Analysis-Financial Reports","603
001","18","3.278","33.3","27.8","27.8","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","620
001","45","3.067","24.4","17.8","20.0","22.2","15.6",".",".",".",".",".",".",".",".",".",".","."
"","620
002","37","3.149","27.0","21.6","27.0","8.1","13.5","2.7",".",".",".",".",".",".",".",".",".","."
"","620
003","36","3.292","50.0","5.6","22.2","8.3","11.1",".","2.8",".",".",".",".",".",".",".",".","."
"Income Tax Accounting I","Course Total","118","3.161","33.1","15.3","22.9","13.6","13.6","0.8","0.8",".",".",".",".",".",".",".",".","."
"Income Tax Accounting II","621
001","16","3.500","43.8","18.8","12.5","6.3","6.3",".",".","6.3",".",".",".",".",".",".","6.3","."
"Proprty,Wills,Trusts,Estate","623
001","21","3.050","19.0","4.8","47.6","14.3","9.5",".",".","4.8",".",".",".",".",".",".",".","."
"","630
001","44","2.886","18.2","9.1","38.6","13.6","15.9","2.3","2.3",".",".",".",".",".",".",".",".","."
"","630
002","41","3.061","19.5","14.6","36.6","17.1","12.2",".",".",".",".",".",".",".",".",".",".","."
"","003
630","43","3.221","16.3","20.9","55.8","4.7","2.3",".",".",".",".",".",".",".",".",".",".","."
"Auditing","Course Total","128","3.055","18.0","14.8","43.8","11.7","10.2","0.8","0.8",".",".",".",".",".",".",".",".","."
"","001
700","41","3.385","29.3","19.5","41.5","4.9",".",".",".","4.9",".",".",".",".",".",".",".","."
"","700
002","41","3.415","34.1","19.5","41.5","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","82","3.400","31.7","19.5","41.5","4.9",".",".",".","2.4",".",".",".",".",".",".",".","."
"Financial Reporting I","701
001","25","3.600","52.0","16.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","20","3.600","60.0","20.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","002
710","35","3.657","54.3","25.7","17.1","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","Course Total","55","3.636","56.4","23.6","12.7","5.5","1.8",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Accounting Theory","770
001","10","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
075","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading&Research-Accounting","Course Total","6","3.750","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971
002","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
069","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","7","3.875","42.9","14.3",".",".",".",".",".","14.3","14.3",".",".","14.3",".",".",".","."
