"HEBREW (HEBREW AND SEMITI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","",""
"","101
001","","17","3.188","35.3","23.5","11.8",".","17.6","5.9",".",".",".",".",".",".",".",".","5.9","."
"","002
101","","18","3.176","33.3","16.7","5.6","27.8","11.1",".",".","5.6",".",".",".",".",".",".",".","."
"","101
003","","22","3.500","59.1","13.6","9.1","13.6",".","4.5",".",".",".",".",".",".",".",".",".","."
"","101
004","","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hebrew","Course Total","","75","3.397","45.3","21.3","10.7","10.7","6.7","2.7",".","1.3",".",".",".",".",".",".","1.3","."
"Biblical Hebrew-First Sem","103
001","","10","3.167","10.0","50.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".","10.0","."
"","201
001","","15","2.900","33.3","6.7","20.0","13.3","20.0",".","6.7",".",".",".",".",".",".",".",".","."
"","002
201","","16","2.938","12.5","43.8","12.5","18.8",".","6.3","6.3",".",".",".",".",".",".",".",".","."
"Third Semester Hebrew","Course Total","","31","2.919","22.6","25.8","16.1","16.1","9.7","3.2","6.5",".",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","301
001","","22","3.705","72.7","9.1","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Biblical Hebrew-First Sem","303
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Texts","323
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biblical Lit","341
001","","16","2.643","6.3","25.0","18.8","12.5","12.5","6.3","6.3","12.5",".",".",".",".",".",".",".","."
"Hebrew Lit: Medieval-Modern","001
342","","7","3.214","14.3","14.3","71.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Israeli Fiction-Translation","343
001","","29","3.086","24.1","17.2","34.5","6.9","13.8","3.4",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","401
001","","22","3.523","27.3","54.5","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Jewish Cultural History","472
001","","31","2.950","29.0","19.4","6.5","22.6","16.1",".","6.5",".",".",".",".",".",".",".",".","."
"BIblical Texts, Poetry","513
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533
001","","23","3.544","26.1","60.9","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Ugaritic Texts","603
001","","8","3.375","37.5","12.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Wisdom Lit:Proverbs&Qohelet","653
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Biblical Studies","951
001","","9","3.357","22.2","22.2","22.2","11.1",".",".",".","22.2",".",".",".",".",".",".",".","."
"","990
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","","8","3.500",".","12.5",".",".",".",".",".","75.0",".",".",".","12.5",".",".",".","."
"Research and Thesis","Course Total","","9","3.750","11.1","11.1",".",".",".",".",".","66.7",".",".",".","11.1",".",".",".","."
