"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","","",""
"","18","4.000","38.9",".",".",".",".",".",".","61.1","",".",".","",".","",".",".",".",".","."
"Sophomore","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","2","3.250",".","50.0","50.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","2","2.750",".",".","50.0","50.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","5","3.100",".","40.0","40.0","20.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Special","51","3.342","27.5","19.6","23.5","5.9","2.0","2.0",".","19.6","",".",".","",".","",".",".",".",".","."
"Graduate","172","3.577","44.2","27.3","23.3","0.6","0.6",".",".","4.1","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","1166","3.481","38.4","21.5","32.8","2.5","1.8","1.1","0.1","1.7","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","1391","3.484","31.6","15.1","20.6","1.2","0.9","1.7","0.2","28.5","",".",".","",".","",".","0.1",".",".","0.1"
"Prof Yr 3","1221","3.539","32.5","11.6","16.0","1.1","0.9","1.4","0.2","36.1","",".",".","",".","",".","0.1",".",".","0.1"
"Prof Yr 4","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Professionals","3779","3.496","34.0","16.0","22.9","1.6","1.2","1.4","0.2","22.7","",".",".","",".","",".","0.1",".",".","0.1"
