"","990
083","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
097","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
116","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"PhD Thesis-Real Estate","Course Total","7","4.000","57.1",".",".",".",".",".","",".","42.9","",".",".","",".","",".","",".",".",".","."
"REAL EST
239","Dept. Total","429","3.381","35.4","25.2","22.6","11.2","4.2","0.2","",".","1.2","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","117","3.162","20.5","23.9","29.1","20.5","6.0",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","170","3.215","21.8","27.6","30.6","12.9","6.5","0.6","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","287","3.193","21.3","26.1","30.0","16.0","6.3","0.3","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","5","3.900","80.0","20.0",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","126","3.813","67.5","22.2","5.6","0.8",".",".","",".","4.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","11","3.318","18.2","36.4","36.4","9.1",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","11","3.318","18.2","36.4","36.4","9.1",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","429","3.381","35.4","25.2","22.6","11.2","4.2","0.2","",".","1.2","",".",".","",".","",".","",".",".",".","."
