"HEC","","","","","","","","","","","","","","","","","","","","",""
"","FAM & CONSUMER COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","","",""
"","100","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","100","003","","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","004","","12","3.458","33.3","41.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","100","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","","Course Total","","31","3.548","35.5","45.2","12.9","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Newswrtg","130","001","","14","3.321","21.4","21.4","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Information Radio","360","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Media and the Family","376","001","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Investgtv Reportng","430","001","","6","2.917",".","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Publications Editing","505","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Publicity Media and Methods","515","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Publicatn,Illustratn&Layout","530","001","","7","3.286","14.3","28.6","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","601","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"FAM COM
464","","Dept. Total","","91","3.405","28.6","34.1","26.4","4.4","2.2","1.1",".",".",".","3.3",".",".",".",".",".","."
