"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","86","3.250","18.6","34.9","32.6","10.5","2.3",".","1.2",".",".",".",".",".",".",".",".","."
"Directed Study","199","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","50","3.740","58.0","32.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231","001","115","3.355","35.7","27.0","22.6","3.5","8.7","1.7",".","0.9",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","88","3.540","46.6","30.7","17.0","2.3","1.1","1.1","1.1",".",".",".",".",".",".",".",".","."
"Economics of Black America","261","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Black Autobiography","265","001","35","3.086","28.6","14.3","22.9","14.3","20.0",".",".",".",".",".",".",".",".",".",".","."
"Intro Lit:18c-Harlm Renaiss","267","001","100","3.747","68.0","20.0","9.0",".","1.0",".","1.0","1.0",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","34","2.758","11.8","2.9","47.1","20.6","5.9","5.9","2.9","2.9",".",".",".",".",".",".",".","."
"Blacks, Film, and Society","303","001","78","2.844","23.1","21.8","14.1","11.5","17.9","5.1","5.1","1.3",".",".",".",".",".",".",".","."
"Bl Mus-Rhythm Sec & Combos","308","001","10","3.250","20.0","20.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Gender, Race & Class","323","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro:History-Caribbean Soc","347","001","30","3.250","23.3","26.7","33.3","10.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Black Feminisms","423","001","7","3.643","71.4","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Mutl Perceptns-Racl Minorty","443","001","13","2.923","7.7","15.4","46.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".","."
"Race, Class&Social Conflict","461","001","7","3.143","42.9",".","42.9",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Hist-Educ of Black Americns","567","001","24","3.250","16.7","45.8","20.8","12.5",".","4.2",".",".",".",".",".",".",".",".",".","."
"Blacks in Cities","577","001","16","2.990","12.5","31.3","18.8","18.8","18.8",".",".",".",".",".",".",".",".",".",".","."
"Hist-Civ Rghts Movmnt in US","628","001","26","3.326","30.8","34.6","3.8","15.4",".",".","3.8","11.5",".",".",".",".",".",".",".","."
"Colloq in Afro-Am History","631","001","8","3.400","25.0",".","37.5",".",".",".",".","12.5",".",".",".",".","12.5",".",".","12.5"
"Afro-Amer History to 1900","635","001","23","3.022","21.7","21.7","26.1","17.4","8.7",".","4.3",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","671","001","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","674","001","15","3.167","46.7","20.0","20.0",".",".",".","13.3",".",".",".",".",".",".",".",".","."
"","674","002","8","2.938","25.0","12.5","25.0",".","37.5",".",".",".",".",".",".",".",".",".",".","."
"Topics on Afro-Amer Artists","","Course Total","23","3.087","39.1","17.4","21.7",".","13.0",".","8.7",".",".",".",".",".",".",".",".","."
"","675","001","30","3.370","20.0","36.7","23.3","10.0",".",".",".",".",".",".",".",".","3.3",".","6.7","."
"","675","002","13","3.462","53.8","7.7","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Amer Culture","","Course Total","43","3.400","30.2","27.9","23.3","9.3","2.3",".",".",".",".",".",".",".","2.3",".","4.7","."
"Senior Honors Thesis","681","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 152 of 370",""
