"LAW","","","","","","","","","","","","","","","","","","",""
"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Taxatn:Bus & Persnl Planng","329
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to American Law","601
001","36","3.458","30.6","30.6","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Sources","602
001","29","3.534","41.4","27.6","27.6","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology and Law","641
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
001","56","3.455","39.3","17.9","39.3","1.8",".","1.8",".",".",".",".",".",".",".",".",".","."
"","711
002","54","3.509","44.4","14.8","37.0",".","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"","711
003","57","3.456","35.1","28.1","33.3",".","3.5",".",".",".",".",".",".",".",".",".",".","."
"","711
004","20","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
005","22","3.591","50.0","18.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
006","23","3.435","39.1","17.4","39.1",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Contracts I","Course Total","232","3.483","39.2","22.4","35.3","0.4","1.7","0.4",".","0.4",".",".",".",".",".",".",".","."
"","714
001","58","3.569","43.1","27.6","29.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
714","60","3.483","43.3","21.7","28.3","1.7","3.3","1.7",".",".",".",".",".",".",".",".",".","."
"","714
003","55","3.500","41.8","20.0","36.4",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"","004
714","19","3.132","26.3","5.3","52.6",".","5.3","10.5",".",".",".",".",".",".",".",".",".","."
"","714
005","20","3.325","35.0","20.0","30.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Civil Procedure I","Course Total","212","3.465","40.6","21.2","33.0","0.9","2.4","1.9",".",".",".",".",".",".",".",".",".","."
"","715
001","52","3.413","38.5","11.5","46.2","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"","002
715","67","3.478","43.3","16.4","35.8","1.5","1.5","1.5",".",".",".",".",".",".",".",".",".","."
"","003
715","17","3.471","35.3","23.5","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","715
004","18","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","715
005","21","3.476","38.1","19.0","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","715
006","20","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","715
008","19","3.526","42.1","31.6","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Torts I","Course Total","214","3.486","41.6","18.7","36.4","1.9","0.9","0.5",".",".",".",".",".",".",".",".",".","."
"Contracts II","721
001","16","3.433","43.8","12.5","25.0","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","723
001","21","3.476","38.1","19.0","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","18","3.000","16.7","22.2","33.3","22.2",".",".","5.6",".",".",".",".",".",".",".",".","."
"","723
003","18","3.278","16.7","27.8","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","723
004","20","3.325","25.0","15.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
005","13","3.192","23.1","23.1","30.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","006
723","19","3.342","26.3","31.6","31.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","723
007","14","3.179","7.1","35.7","50.0",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","008
723","18","3.306","33.3","22.2","22.2","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","009
723","19","3.316","26.3","42.1","21.1",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","723
010","20","3.600","60.0","15.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","723
011","18","3.083","5.6","27.8","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","723
012","19","3.237","21.1","26.3","36.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","217","3.288","25.8","25.3","36.4","8.3","3.2","0.5","0.5",".",".",".",".",".",".",".",".","."
"","726
001","60","3.500","40.0","26.7","30.0",".","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"","726
002","59","3.559","47.5","20.3","30.5",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"","726
003","66","3.424","31.8","24.2","40.9","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","726
004","22","3.614","50.0","22.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
726","24","3.708","54.2","33.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
