"LANDSCAPE ARCHITECTURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","",""
"","201
001","22","3.182","13.6","22.7","50.0","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","20","3.075","20.0","15.0","45.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Intro Land Arc Studio","Course Total","42","3.131","16.7","19.0","47.6","11.9","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","250
001","22","3.159","9.1","36.4","36.4","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"","250
002","23","3.045","13.0","21.7","34.8","13.0","13.0",".",".",".",".",".",".",".",".","4.3",".","."
"","250
003","22","3.182","4.5","50.0","27.3","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"","250
004","26","2.780","3.8","19.2","30.8","30.8","7.7",".","3.8","3.8",".",".",".",".",".",".",".","."
"","250
005","21","2.929","9.5","23.8","28.6","28.6","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Survey of Land Arch Design","Course Total","114","3.013","7.9","29.8","31.6","20.2","7.0","0.9","0.9","0.9",".",".",".",".",".","0.9",".","."
"Prin Land Arc Dsgn&Graphics","261
001","27","3.241","18.5","29.6","37.0","11.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"Landscape Invntry&Eval Meth","262
001","39","3.077","20.5","25.6","30.8","15.4","2.6",".","5.1",".",".",".",".",".",".",".",".","."
"","263
001","12","3.417","50.0","25.0",".","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","263
002","15","3.536","66.7","6.7","6.7",".","6.7","6.7",".","6.7",".",".",".",".",".",".",".","."
"Landscape Plants I","Course Total","27","3.481","59.3","14.8","3.7","3.7","11.1","3.7",".","3.7",".",".",".",".",".",".",".","."
"Independent Studies","299
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Landscape Arch Tech II","354
001","26","3.250","26.9","30.8","23.1","3.8","15.4",".",".",".",".",".",".",".",".",".",".","."
"Planting Design I","365
001","27","3.192","18.5","18.5","40.7","18.5",".",".",".",".",".",".",".",".",".","3.7",".","."
"","375
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
002","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","12","3.758","66.7","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","399
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","2","***","","","","","","","","","","","","","","","",""
"Professionl Pract-Land Arch","550
001","21","3.214","19.0","19.0","52.4","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Landscape Arch","610
001","21","3.378","33.3","28.6","23.8","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Aesthetic Assessmnt-Landscp","654
001","22","2.591","4.5","9.1","18.2","45.5","18.2","4.5",".",".",".",".",".",".",".",".",".","."
"Restoration Ecology","666
001","25","3.364","36.0","16.0","16.0","16.0","4.0",".",".","8.0",".",".",".",".",".","4.0",".","."
"Applictn of GIS:Natrl Rsrcs","695
001","11","3.045",".","36.4","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Special Problems-Land Arch","699
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theories-Landscape Change","710
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Pol&Mgmt-National Parks","749
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Seminar","940
001","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","14","4.000","64.3",".",".",".",".",".",".","14.3",".",".",".","21.4",".",".",".","."
"","999
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","7","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
