"BUS","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","215","2.940","22.3","12.1","26.5","20.5","14.4","2.8","1.4",".",".",".",".",".",".",".",".","."
"","002
300","218","3.181","28.9","20.2","25.7","12.4","11.0","1.8",".",".",".",".",".",".",".",".",".","."
"","300
003","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","452","3.100","28.5","15.7","25.0","15.7","12.2","2.2","0.7",".",".",".",".",".",".",".",".","."
"","305
001","76","2.987","10.5","15.8","43.4","18.4","10.5",".",".","1.3",".",".",".",".",".",".",".","."
"","305
002","71","2.907","7.0","11.3","49.3","23.9","5.6",".","1.4","1.4",".",".",".",".",".",".",".","."
"","305
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Resource Management","Course Total","151","2.966","9.3","15.2","45.0","20.5","7.9",".","0.7","1.3",".",".",".",".",".",".",".","."
"","365
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","12","3.727","50.0","33.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","399
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","420
001","45","3.467","31.1","35.6","28.9","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"","002
420","48","3.052","18.8","29.2","22.9","14.6","8.3","6.3",".",".",".",".",".",".",".",".",".","."
"Org & Mgmt Processes","Course Total","93","3.253","24.7","32.3","25.8","9.7","4.3","3.2",".",".",".",".",".",".",".",".",".","."
"Mgt:Decisn,Implmntatn&Cntrl","421
001","43","3.407","34.9","25.6","30.2","4.7","4.7",".",".",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","422
001","34","3.412","29.4","35.3","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","423
001","24","3.250","12.5","37.5","37.5",".",".","4.2",".","8.3",".",".",".",".",".",".",".","."
"","002
423","11","3.182","18.2","18.2","54.5",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Administrative Policy","Course Total","35","3.227","14.3","31.4","42.9",".","2.9","2.9",".","5.7",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","43","3.393","32.6","16.3","44.2","4.7",".",".",".","2.3",".",".",".",".",".",".",".","."
"","613
001","11","3.500","45.5","9.1","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hum Rsrce Skills-Managers","Course Total","16","3.531","43.8","18.8","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organizational Behavior","700
001","16","3.840","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","37","3.892","78.4","21.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
002","48","3.927","85.4","14.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","Course Total","85","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","702
001","36","3.771","61.1","30.6","2.8","2.8",".",".",".",".",".",".",".",".",".","2.8",".","."
"","702
002","36","3.764","52.8","47.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership in Organizations","Course Total","72","3.768","56.9","38.9","1.4","1.4",".",".",".",".",".",".",".",".",".","1.4",".","."
"Human Resource Management","705
001","25","3.660","56.0","20.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sm Bus Mgmt/Entrepreneurshp","722
001","44","3.830","72.7","20.5","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","28","3.648","35.7","53.6","7.1",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"","723
002","29","3.586","31.0","55.2","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","57","3.616","33.3","54.4","10.5",".",".",".",".",".",".",".",".",".","1.8",".",".","."
"","001
725","43","3.524","41.9","27.9","20.9","4.7","2.3",".",".",".",".",".",".",".",".","2.3",".","."
"","725
002","33","3.576","48.5","18.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategc Mgmt-Innovatn&Tech","Course Total","76","3.547","44.7","23.7","26.3","2.6","1.3",".",".",".",".",".",".",".",".","1.3",".","."
"Small Business Planning","727
001","24","3.614","41.7","29.2","20.8",".",".",".",".",".",".",".",".",".",".","4.2","4.2","."
"","765
001","15","3.366","20.0","26.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","27","3.662","55.6","14.8","29.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 60 of 370"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","","","","",""
"*** Please note: In order to protect student privacy, grade distributions for classes or class sections with fewer than five students have been redacted.","","","","","","","","","","","","","","","","","","",""
