"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"Med Term-Greek&Latin Origin","205
001","203","2.520","18.7","20.2","17.7",".","18.7","13.3","10.3","0.5","0.5",".",".",".",".",".",".","."
"Sch&Learning-Medieval World","311
001","8","3.125","37.5","25.0","25.0",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Civilizat of Ancient Greece","320
001","119","3.153","16.0","28.6","37.8","8.4","6.7","0.8","0.8",".",".",".",".",".",".","0.8",".","."
"Intmed Ancient Egypt Lang","407
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Ancient Egypt Lang","408
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Interpret-Classcl Mythology","470
001","15","3.333","40.0","13.3","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Classcl Backgrd-English Lit","554
001","24","3.478","37.5","33.3","12.5","8.3","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","13","3.500","53.8","7.7","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","Course Total","4","***","","","","","","","","","","","","","","","",""
"Seminar-Ancient History","801
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Hist of Philosophy","830
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CLASSICS
244","Dept. Total","392","2.870","22.4","22.7","24.2","3.6","12.5","7.1","5.9","1.0","0.3",".",".",".",".","0.3",".","."
