"BUS","","","","","","","","","","","","","","","","","","","",""
"TRANSPORTATION AND PUBLIC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","",""
"","325
001","","11","3.182","18.2","18.2","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","002
325","","9","3.056","22.2","11.1","55.6",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Public Utilities","Course Total","","20","3.125","20.0","15.0","50.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"Transp & Business Logistics","640
001","","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","725
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Utilities","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Economics of Transportation","744
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"TRAN P U
243","Dept. Total","","46","3.554","52.2","19.6","21.7","4.3",".","2.2",".",".",".",".",".",".",".",".",".","."
