"REAL ESTATE & URBAN LAND E Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306","001","184","3.128","21.2","23.9","23.4","23.4","7.6","0.5",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","399","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Estate Finance","410","001","43","3.372","20.9","34.9","41.9","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420","001","48","3.229","18.8","27.1","43.8","2.1","8.3",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Asset Mgmnt","425","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Techniq-Real Estate Analys","621","001","28","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","706","001","12","3.727","58.3","25.0",".","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"Real Estate Finance","710","001","27","3.611","48.1","25.9","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715","001","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720","001","23","3.804","78.3","8.7","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Asset Managemnt","725","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750","001","32","3.688","53.1","34.4","9.4","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Urban Land Econ PhD","978","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","083","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","116","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","","Course Total","7","4.000","57.1",".",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
