"COMPARATIVE LITERATURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","",""
"Intro Pre-Modern Literature","201
001","38","2.838","18.4","15.8","31.6",".","23.7","5.3","2.6","2.6",".",".",".",".",".",".",".","."
"Intro to Mod & Contemp Lit","202
001","107","3.234","19.6","32.7","29.9","14.0","2.8",".","0.9",".",".",".",".",".",".",".",".","."
"Intro Cross-Cultrl Lit Form","203
060","135","3.500","33.3","43.7","17.8","2.2","0.7","0.7","0.7",".",".",".",".",".",".","0.7",".","."
"Masterpcs of Lit-Honors I","287
001","17","3.647","35.3","58.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Masterpcs of Lit-Honors II","288
001","19","3.526","31.6","42.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Criticism","310
007","19","3.056","26.3","10.5","31.6","5.3","15.8","5.3",".","5.3",".",".",".",".",".",".",".","."
"Drama","353
001","15","3.447","40.0","26.7","6.7","13.3","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Literature & The Other Arts","466
001","23","3.519","47.8","17.4","30.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Poetics and Literary Theory","475
075","19","3.573","57.9","15.8","10.5","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","8","3.850","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literary Criticism","771
001","12","3.727","50.0","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"Seminar-Genre and Mode","974
001","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1"
"Smr-Poetics & Lit Theory","975
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","011
990","6","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","990
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","15","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"Independent Work","999
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"COMP LIT
260","Dept. Total","447","3.412","34.7","31.3","20.4","5.4","4.0","0.9","0.7","2.0",".",".",".",".",".","0.2","0.2","0.2"
