"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"300
Forest Biometry","001","","17","3.265","29.4","11.8","47.1","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"301
Intro-Aerial Photo Systems","001","","16","3.000","25.0","12.5","18.8","25.0","18.8",".",".",".",".",".",".",".",".",".",".","."
"302
Elec-op&Micro Remote Sensng","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"304
Remote Sensng Vis Image&GIS","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"336
Nutrnt Mgmt: Nursery Trees","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","12","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"402","001","","6","2.583","33.3",".",".","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".","."
"402","002","","7","3.357","57.1",".","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Dendrology","Course Total","","13","3.000","46.2",".","7.7","15.4","23.1","7.7",".",".",".",".",".",".",".",".",".","."
"403
Geom Anal-Vert Aerial Photo","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"415
Tree Physiology","001","","15","3.467","40.0","20.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"431
Natural Resource Economics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"455
The Vegetation of Wisconsin","001","","7","3.500","28.6","28.6","28.6",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"460
General Ecology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"550
Forest Ecology","001","","40","3.675","55.0","22.5","12.5",".","5.0",".",".",".",".",".",".",".",".",".","5.0","."
"571","001","","19","3.263","15.8","31.6","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"571","002","","15","3.533","40.0","26.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","34","3.382","26.5","29.4","38.2","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"612
Cellulose Chemistry","001","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"640
Forest Tree Genetics","001","","6","3.800","50.0","33.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"749
Soc Pol&Mgmt-National Parks","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","2","***","","","","","","","","","","","","","","","",""
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","8","3.700","37.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 23 of 373"
