"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","",""
"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"","726
004","22","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","726
005","25","3.520","40.0","24.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Substan Criminal Law","Course Total","271","3.450","38.4","19.6","37.6","2.6","1.1","0.7",".",".",".",".",".",".",".",".",".","."
"Federal Law & Indian Tribes","730
001","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","731
001","94","3.445","35.1","20.2","25.5","4.3",".","2.1",".","12.8",".",".",".",".",".",".",".","."
"","731
002","20","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law I","Course Total","114","3.495","39.5","20.2","24.6","3.5",".","1.8",".","10.5",".",".",".",".",".",".",".","."
"Real Estate Transactions I","732
001","66","3.310","36.4","10.6","13.6","3.0","7.6","3.0","1.5","24.2",".",".",".",".",".",".",".","."
"","733
001","101","3.335","24.8","16.8","30.7","2.0","1.0","3.0",".","19.8",".",".",".",".",".",".","1.0","1.0"
"","733
002","55","3.158","20.0","18.2","20.0","3.6",".","3.6","3.6","30.9",".",".",".",".",".",".",".","."
"","733
003","43","3.479","25.6","16.3","11.6",".",".",".","2.3","44.2",".",".",".",".",".",".",".","."
"Trusts and Estates","Course Total","199","3.312","23.6","17.1","23.6","2.0","0.5","2.5","1.5","28.1",".",".",".",".",".",".","0.5","0.5"
"","740
001","34","3.397","29.4","23.5","44.1","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","740
002","53","3.511","35.8","22.6","20.8","1.9",".","1.9",".","17.0",".",".",".",".",".",".",".","."
"Constitutional Law II","Course Total","87","3.462","33.3","23.0","29.9","2.3",".","1.1",".","10.3",".",".",".",".",".",".",".","."
"Taxation I","742
001","45","3.513","44.4","15.6","20.0","4.4","4.4",".",".","11.1",".",".",".",".",".",".",".","."
"Administrative Law","744
001","28","3.478","28.6","21.4","32.1",".",".",".",".","17.9",".",".",".",".",".",".",".","."
"Labor Relations Law","745
001","26","3.235","26.9","3.8","23.1","3.8",".","7.7",".","34.6",".",".",".",".",".",".",".","."
"Protective Labor Legislatn","747
001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Antitrust","748
001","18","3.625","55.6","5.6","22.2","5.6",".",".",".","11.1",".",".",".",".",".",".",".","."
"Patent Law","751
001","18","3.735","61.1","16.7","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","801
001","83","3.420","39.8","19.3","22.9","1.2","3.6","3.6",".","9.6",".",".",".",".",".",".",".","."
"","002
801","133","3.483","45.9","11.3","26.3","1.5","1.5","2.3","0.8","10.5",".",".",".",".",".",".",".","."
"Evidence","Course Total","216","3.459","43.5","14.4","25.0","1.4","2.3","2.8","0.5","10.2",".",".",".",".",".",".",".","."
"","802
001","52","3.404","38.5","15.4","38.5","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","002
802","66","3.472","24.2","13.6","12.1","1.5","1.5","1.5",".","45.5",".",".",".",".",".",".",".","."
"Civil Procedure II","Course Total","118","3.432","30.5","14.4","23.7","2.5","2.5","0.8",".","25.4",".",".",".",".",".",".",".","."
"","808
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","808
002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Legal Writing","Course Total","14","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Administrative Advocacy","813
001","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
001","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","815
002","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","21","4.000","47.6",".",".",".",".",".",".","52.4",".",".",".",".",".",".",".","."
"","817
001","55","3.628","47.3","9.1","18.2","1.8","1.8",".",".","21.8",".",".",".",".",".",".",".","."
"","817
002","82","3.540","34.1","17.1","22.0","1.2","1.2",".",".","24.4",".",".",".",".",".",".",".","."
"Business Organizations I","Course Total","137","3.576","39.4","13.9","20.4","1.5","1.5",".",".","23.4",".",".",".",".",".",".",".","."
"Comparative Law","818
001","10","3.750","40.0","40.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","10.0"
"Conflict of Laws","820
001","9","3.625","44.4","22.2","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Creditors & Debtors Rights","821
001","21","3.533","28.6","23.8","14.3","4.8",".",".",".","28.6",".",".",".",".",".",".",".","."
"Family Law I","822
001","48","3.565","43.8","25.0","25.0",".",".","2.1",".","2.1",".",".",".",".",".",".",".","2.1"
"International Law","827
001","24","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 312 of 373",""
