"Logistics Strategies","646
001","","19","3.789","68.4","21.1","10.5",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"","725
001","","2","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","725
002","","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Public Utilities","Course Total","","5","***","","","","","","","","","","","","","","","","","","","","","",""
"TRAN P U
243","Dept. Total","","62","3.636","51.6","25.8","12.9","1.6","3.2","",".","",".","1.6","",".",".","",".","",".","",".","1.6","1.6","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","4.000","50.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".","50.0",".","."
"Junior","","","9","3.333","11.1","55.6","22.2","11.1",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","18","3.417","44.4","16.7","27.8",".","11.1","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","29","3.411","34.5","27.6","24.1","3.4","6.9","",".","",".",".","",".",".","",".","",".","",".","3.4",".","."
"Special","","","2","3.500",".","50.0",".",".",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","","30","3.845","70.0","23.3","3.3",".",".","",".","",".",".","",".",".","",".","",".","",".",".","3.3","."
"Prof Yr 3","","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","62","3.636","51.6","25.8","12.9","1.6","3.2","",".","",".","1.6","",".",".","",".","",".","",".","1.6","1.6","."
