"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","",""
"ALS","College Total","8437","3.240","36.0","16.2","20.3","7.7","9.3","1.9","0.8","4.8","",".","1.4","0.0","1.0","",".","0.2","0.2","0.2"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"ALS","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Freshmen","","731","2.840","27.6","17.4","18.6","10.8","16.0","3.7","2.1","0.1","",".","3.1",".",".","",".","0.3",".","0.3"
"Sophomore","","866","2.954","23.2","17.7","21.4","12.7","15.8","3.5","1.3",".","",".","3.9",".",".","",".","0.3",".","0.2"
"Junior","","1550","3.031","25.5","17.2","26.8","11.7","12.5","2.9","1.4","0.1","",".","1.4",".",".","",".","0.3","0.1","0.3"
"Senior","","2628","3.129","30.3","18.3","25.7","9.1","11.6","2.1","0.8","0.4","",".","1.3",".","0.1","",".","0.2","0.1","0.1"
"Undergraduates","","5775","3.042","27.6","17.8","24.4","10.5","13.0","2.7","1.2","0.2","",".","1.9",".","0.1","",".","0.3","0.1","0.2"
"Special","","247","3.328","27.9","23.9","23.5","5.3","4.9","0.4",".","7.3","",".","2.0","0.4",".","",".","0.4","2.4","1.6"
"Graduate","","2437","3.785","57.2","11.4","10.1","1.2","0.7",".",".","15.5","",".","0.1",".","3.2","",".","0.1","0.2","0.2"
"Prof Yr 1","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 2","","3","3.143","66.7",".",".",".","33.3",".",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","9","4.000","66.7",".",".",".",".",".",".","33.3","",".",".",".",".","",".",".",".","."
"Prof Yr 4","","4","4.000","75.0",".",".",".",".",".",".","25.0","",".",".",".",".","",".",".",".","."
"Professionals","","17","3.667","64.7","5.9",".",".","5.9",".",".","23.5","",".",".",".",".","",".",".",".","."
"","College Total","8476","3.240","36.2","16.1","20.2","7.7","9.2","1.9","0.8","4.9","",".","1.4","0.0","1.0","",".","0.2","0.2","0.2"
