"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"691","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692
Undergraduate Thesis","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"693","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"693","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"693","053","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Behavior Problems","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"694","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"694","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"694","016","","26","3.917","88.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"694","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"694","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"694","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"694","030","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Probs-Developmental Psych","Course Total","","44","3.914","86.4","11.4","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"695","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"695","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"695","040","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Clinical Psychology","Course Total","","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"697","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"697","017","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","023","","32","3.985","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","038","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","042","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","057","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems in Human Behavior","Course Total","","91","3.983","97.8","1.1","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 274 of 373",""
