"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","96","2.670","8.3","5.2","30.2","34.4","14.6","4.2","1.0","2.1",".",".",".",".",".",".",".","."
"They: Race in Amer Lit","155","001","117","3.164","14.5","31.6","33.3","11.1","8.5",".",".","0.9",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231","001","121","2.992","20.7","28.1","19.8","13.2","10.7","4.1","3.3",".",".",".",".",".",".",".",".","."
"Intro-Africn Art&Architectr","241","001","74","3.313","29.7","33.8","20.3","5.4","5.4",".","2.7","1.4",".",".",".",".",".","1.4",".","."
"Economics of Black America","261","001","17","2.633","29.4","5.9","5.9","11.8","23.5",".","11.8","11.8",".",".",".",".",".",".",".","."
"Intro Lit:18c-Harlm Renaiss","267","001","93","3.424","38.7","24.7","28.0","1.1","4.3","2.2",".",".",".",".",".",".",".",".","1.1","."
"Africa: Introductory Survey","277","001","71","3.141","23.9","32.4","18.3","9.9","11.3","2.8","1.4",".",".",".",".",".",".",".",".","."
"Undergrad St-Afroam History","302","001","30","3.375","36.7","23.3","23.3","6.7",".",".","3.3","6.7",".",".",".",".",".",".",".","."
"Black Mus(1920-Pres)-Trumpt","310","001","14","3.000","14.3","14.3","57.1",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Afro-Am Mus:17th C-Present","316","001","17","3.265","35.3","17.6","29.4",".","17.6",".",".",".",".",".",".",".",".",".",".","."
"Contemporary African Art","320","001","15","3.400","46.7","13.3","26.7",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Gender, Race & Class","323","001","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Artistc/Cult Image-Bl Women","366","001","29","3.268","27.6","6.9","51.7","10.3",".",".",".","3.4",".",".",".",".",".",".",".","."
"Race, Class&Social Conflict","461","001","8","3.000","25.0","25.0","37.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Art of Afro-Am Women in US","540","001","12","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"The Harlem Renaissance","602","001","23","3.522","47.8","30.4","13.0","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"Hist-Civ Rghts Movmnt in US","628","001","23","3.295","17.4","47.8","13.0","8.7","8.7",".",".","4.3",".",".",".",".",".",".",".","."
"Afro-Amer History to 1900","635","001","25","3.200","24.0","36.0","12.0","20.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","671","002","15","3.286","40.0","6.7","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".","6.7"
"","672","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","672","002","14","3.577","50.0","21.4","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","7.1"
"Selected Topics:Afro-Am Lit","","Course Total","19","3.639","52.6","26.3","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","5.3"
"Topics in Afro-Am Society","673","001","10","3.611","40.0","30.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Senior Thesis","692","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","21","2.869","38.1","4.8","19.0",".","9.5",".","9.5","4.8",".",".",".","4.8",".","4.8",".","4.8"
"","790","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
