"COUNSELING PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","","",""
"","115
001","","24","4.000","83.3",".",".",".",".",".",".","12.5",".",".",".",".",".",".","4.2","."
"","115
002","","31","3.600","67.7","19.4","3.2",".",".",".","6.5",".",".",".",".",".",".","3.2",".","."
"","115
003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
004","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
006","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
007","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","","96","3.846","82.3","8.3","2.1",".",".",".","2.1","3.1",".",".",".",".",".","1.0","1.0","."
"","001
364","","12","3.700","58.3","16.7",".",".","8.3",".",".","8.3",".",".",".",".",".","8.3",".","."
"","002
364","","12","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Prep Pupils for Work-El/Mid","Course Total","","24","3.850","70.8","8.3",".",".","4.2",".",".","12.5",".",".",".",".",".","4.2",".","."
"Prep Stdts for Work-2nd Lvl","365
001","","23","4.000","95.7",".",".",".",".",".",".",".",".",".",".",".",".","4.3",".","."
"Theory & Prac-Interviewing","650
001","","100","3.631","45.0","38.0","13.0","3.0",".",".",".",".",".",".",".",".",".","1.0",".","."
"Career Dev Through Life Spn","665
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Self-Help Procedures","670
001","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Theories of Counseling","800
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech&Microskills-Counselors","805
001","","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","807
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","807
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling II","Course Total","","31","3.960","96.8",".","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Master Intrshp-Cnslg & Guid","810
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Csnlg Psych Tech-Families","825
001","","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consultation Proc-Counselor","850
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cross Cultural Counseling","860
001","","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Cnsl Psychology Practicum","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshp-Counseling&Guidance","920
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Counseling Psychology","925
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Methods in Cnsl Psych","950
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch-Indiv Intervention","951
001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch-Training & Supervision","953
001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch-Stdt Persnl Psych Prac","955
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 84 of 373"
