"HUMAN ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","",""
"640
Biochem Mech-Tumor Progress","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Hum Cancer Bio","Course Total","","10","3.955","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"770
Sems in Human Cancer Biol","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"820","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"820","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Oncology Selective","Course Total","","7","3.429",".","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"922
Radiation Oncology-CSC","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980
Colloq in Human Cancer Biol","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","150","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch in Human Cancer Bio","Course Total","","22","3.967","86.4",".","4.5",".",".",".",".",".",".",".",".","9.1",".",".",".","."
