"BIOMOLECULAR CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","",""
"314
Intro to Human Biochemistry","001","","189","2.931","20.6","9.5","36.0","8.5","22.8","1.1","1.1","0.5",".",".",".",".",".",".",".","."
"675","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"675","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv/Spec Topics:Biomol Chem","Course Total","","10","3.867","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Research Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"704
Comprehensive Human Biochem","001","","153","3.553","54.9","3.9","38.6",".","2.0",".",".",".",".",".",".",".",".",".","0.7","."
"900","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Biomoleclr Chem Journl Club","Course Total","","20","4.000","95.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"901
Biomolecular Chem Seminar","001","","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","022","","11","4.000","72.7",".",".",".",".",".",".","18.2",".",".",".","9.1",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Biomoleclr Chem & Rsrch","Course Total","","44","3.989","70.5","2.3",".",".",".",".",".","25.0",".",".",".","2.3",".",".",".","."
