"Publicity Media and Methods","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Publicatn,Illustratn&Layout","001
530","","7","3.429","42.9","14.3","28.6","14.3",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Internship","601
015","","5","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Independent Study","699
015","","4","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"FAM COM
464","Dept. Total","","85","3.426","36.5","23.5","23.5","5.9","2.4","",".","1.2","",".","",".","5.9","",".","",".","",".","1.2",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","20","3.375","45.0","25.0","15.0","10.0",".","",".","5.0","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","12","3.550","25.0","41.7","16.7",".",".","",".",".","",".","",".","8.3","",".","",".","",".","8.3",".","."
"Junior","","","27","3.199","14.8","25.9","33.3","7.4","7.4","",".",".","",".","",".","11.1","",".","",".","",".",".",".","."
"Senior","","","25","3.625","56.0","12.0","24.0","4.0",".","",".",".","",".","",".","4.0","",".","",".","",".",".",".","."
"Undergraduates","","","84","3.419","35.7","23.8","23.8","6.0","2.4","",".","1.2","",".","",".","6.0","",".","",".","",".","1.2",".","."
"Graduate","","","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","85","3.426","36.5","23.5","23.5","5.9","2.4","",".","1.2","",".","",".","5.9","",".","",".","",".","1.2",".","."
