"","771
002","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Conf Rsch Wrkrs-Clin Pharm","Course Total","38","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Conf:Rsch Workers Hosp Phm","961
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
027","5","***","","","","","","","","","",".",".",".",".",".",".","."
"PHM PRAC
728","Dept. Total","402","3.619","47.8","26.1","11.4","3.5","1.5",".",".",".",".","9.5",".","0.2",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Freshmen","","36","3.582","41.7","16.7","11.1","5.6",".",".",".",".",".","25.0",".",".",".",".",".","."
"Sophomore","","44","3.679","43.2","38.6","4.5",".","2.3",".",".",".",".","11.4",".",".",".",".",".","."
"Junior","","172","3.535","43.6","36.0","14.5","4.1","1.7",".",".",".",".",".",".",".",".",".",".","."
"Senior","","12","3.885","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","264","3.578","44.3","33.7","11.7","3.4","1.5",".",".",".",".","5.3",".",".",".",".",".","."
"Special","","19","3.385","36.8","31.6","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","16","3.895","75.0","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".",".","."
"Prof Yr 1","","44","3.459","36.4","9.1","25.0","6.8",".",".",".",".",".","22.7",".",".",".",".",".","."
"Prof Yr 2","","52","3.886","67.3","5.8","1.9",".","1.9",".",".",".",".","23.1",".",".",".",".",".","."
"Prof Yr 3","","3","4.000","66.7",".",".",".",".",".",".",".",".","33.3",".",".",".",".",".","."
"Prof Yr 4","","4","4.000","75.0",".",".",".",".",".",".",".",".","25.0",".",".",".",".",".","."
"Professionals","","103","3.763","54.4","6.8","11.7","2.9","1.0",".",".",".",".","23.3",".",".",".",".",".","."
"","Dept. Total","402","3.619","47.8","26.1","11.4","3.5","1.5",".",".",".",".","9.5",".","0.2",".",".",".","."
