"","990
044","","2","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
045","","1","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
047","","4","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","","23","4.000","56.5","",".",".",".","",".","",".","",".","39.1","",".",".","",".","4.3","",".",".",".","."
"PATH
704","Dept. Total","","44","3.987","72.7","",".","2.3",".","",".","",".","",".","20.5","",".",".","",".","2.3","",".",".",".","2.3"
"Summary by Level","","#","","Ave","A","AB","","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","4.000","100.0","",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","1","4.000","100.0","",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","","1","4.000","100.0","",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","","38","3.982","71.1","",".","2.6",".","",".","",".","",".","23.7","",".",".","",".","2.6","",".",".",".","."
"Prof Yr 3","","","3","4.000","66.7","",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","33.3"
"Prof Yr 4","","","4","4.000","100.0","",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","","7","4.000","85.7","",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","14.3"
"","Dept. Total","","47","3.987","74.5","",".","2.1",".","",".","",".","",".","19.1","",".",".","",".","2.1","",".",".",".","2.1"
