"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","20","3.100","25.0","20.0","30.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","101
002","21","3.214","28.6","28.6","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","004
101","18","3.306","33.3","16.7","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","17","3.206","29.4","17.6","23.5","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"","101
006","20","3.350","25.0","30.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","007
101","23","3.091","26.1","26.1","21.7","8.7","4.3","4.3","4.3","4.3",".",".",".",".",".",".",".","."
"","101
008","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
009","20","3.200","30.0","10.0","45.0",".","15.0",".",".",".",".",".",".",".",".",".",".","."
"","012
101","16","2.406","12.5","6.3","25.0","25.0","12.5","6.3","12.5",".",".",".",".",".",".",".",".","."
"","101
013","20","3.425","50.0","20.0","10.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","015
101","23","2.783","26.1","4.3","34.8","13.0","8.7","4.3","8.7",".",".",".",".",".",".",".",".","."
"","101
017","13","3.042","30.8","23.1","23.1",".",".","7.7","7.7","7.7",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","225","3.143","30.2","19.1","26.2","11.1","7.6","2.2","2.7","0.9",".",".",".",".",".",".",".","."
"","102
002","18","3.294","27.8","27.8","22.2","5.6","11.1",".",".","5.6",".",".",".",".",".",".",".","."
"","102
003","20","3.275","45.0","15.0","10.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","005
102","22","3.432","40.9","22.7","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","008
102","11","3.200","27.3","18.2","18.2","18.2","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"","010
102","15","2.933","13.3","13.3","46.7","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","102
011","9","2.833","11.1","11.1","33.3","22.2","22.2",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","95","3.210","30.5","18.9","25.3","9.5","12.6","1.1",".","2.1",".",".",".",".",".",".",".","."
"","201
001","19","2.579","26.3","5.3","26.3","5.3","15.8","10.5","10.5",".",".",".",".",".",".",".",".","."
"","002
201","24","3.477","58.3",".","12.5","12.5","8.3",".",".","4.2",".",".",".",".",".",".",".","4.2"
"Ital-Speakrs of Romanc Lang","Course Total","43","3.061","44.2","2.3","18.6","9.3","11.6","4.7","4.7","2.3",".",".",".",".",".",".",".","2.3"
"","203
002","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","13","3.615","53.8","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","203
006","11","3.000","9.1","36.4","45.5",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","203
008","10","2.438","20.0","10.0",".","20.0","10.0","10.0","10.0","20.0",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","44","3.226","34.1","22.7","22.7","6.8","2.3","2.3","4.5","4.5",".",".",".",".",".",".",".","."
"Fourth Semester Italian","002
204","17","3.559","35.3","41.2","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","311
001","20","3.750","55.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","321
001","17","3.440","29.4","58.8","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","13","3.577","46.2","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Italian Lit","450
001","9","3.724","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"La Poesia del Novecento","638
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dante's Divina Commedia","659
001","22","3.227","27.3","40.9","9.1","4.5","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"","699
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"","799
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"Smr-Studies in Italian Lit","951
001","8","3.786","62.5","12.5","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","990
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 228 of 373",""
