"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","76","3.329","32.9","25.0","27.6","11.8",".","1.3","1.3",".",".",".",".",".",".",".",".","."
"","101
002","80","3.106","17.5","16.3","43.8","15.0","7.5",".",".",".",".",".",".",".",".",".",".","."
"","101
003","79","3.127","12.7","30.4","35.4","17.7","2.5",".","1.3",".",".",".",".",".",".",".",".","."
"","004
101","84","3.101","11.9","26.2","41.7","13.1","6.0","1.2",".",".",".",".",".",".",".",".",".","."
"","005
101","76","3.303","34.2","25.0","28.9","3.9","2.6","3.9","1.3",".",".",".",".",".",".",".",".","."
"","101
006","81","3.296","23.5","32.1","33.3","7.4","2.5",".","1.2",".",".",".",".",".",".",".",".","."
"","101
007","16","2.969","25.0","18.8","25.0","12.5","12.5",".","6.3",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","492","3.200","22.0","25.6","35.0","11.6","3.9","1.0","1.0",".",".",".",".",".",".",".",".","."
"Spec Topics:Philos-Freshmen","001
104","15","3.400","33.3","26.7","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"First Course for Honors","181
001","20","3.000","5.0","35.0","45.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Intro to Philos for Jr & Sr","201
001","40","2.910","12.5","20.0","40.0","7.5","10.0","5.0","2.5","2.5",".",".",".",".",".",".",".","."
"Philos-Love, Sex, Friendshp","205
001","78","3.347","23.1","38.5","19.2","12.8","2.6",".",".","3.8",".",".",".",".",".",".",".","."
"Reason in Communication","210
001","79","3.051","16.5","16.5","44.3","11.4","10.1",".","1.3",".",".",".",".",".",".",".",".","."
"","211
001","74","3.465","37.8","28.4","18.9","9.5",".","1.4",".","1.4",".",".",".",".",".","1.4",".","1.4"
"","211
002","48","2.956","25.0","14.6","14.6","14.6","22.9",".","2.1","6.3",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","122","3.267","32.8","23.0","17.2","11.5","9.0","0.8","0.8","3.3",".",".",".",".",".","0.8",".","0.8"
"","241
001","70","3.618","40.0","41.4","14.3","1.4",".",".",".","2.9",".",".",".",".",".",".",".","."
"","241
002","80","3.050","8.8","26.3","37.5","21.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","150","3.311","23.3","33.3","26.7","12.0","3.3",".",".","1.3",".",".",".",".",".",".",".","."
"Philosophy of the Arts","253
001","49","3.480","49.0","16.3","24.5","6.1","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"Humanity, Religion&Society","258
001","40","3.355","25.0","27.5","40.0",".",".","2.5",".","2.5",".",".",".",".",".",".","2.5","."
"Intro-Philos of Religion","261
001","59","3.218","27.1","15.3","32.2","11.9","5.1","1.7",".","6.8",".",".",".",".",".",".",".","."
"Classic Texts in Philosophy","264
001","14","3.393","21.4","35.7","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
341","81","3.175","12.3","32.1","37.0","14.8","1.2","1.2",".","1.2",".",".",".",".",".",".",".","."
"","341
002","125","3.302","13.6","48.0","25.6","10.4","0.8","0.8",".","0.8",".",".",".",".",".",".",".","."
"","341
003","86","3.023","8.1","26.7","32.6","26.7","5.8",".",".",".",".",".",".",".",".",".",".","."
"","341
004","13","3.423","38.5","15.4","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","341
005","15","2.964","20.0","20.0","13.3","26.7","6.7","6.7",".","6.7",".",".",".",".",".",".",".","."
"","341
006","17","3.719","47.1","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","5.9"
"","007
341","18","3.528","38.9","33.3","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","355","3.226","16.1","35.8","28.7","15.2","2.3","0.8",".","0.8",".",".",".",".",".",".",".","0.3"
"Hist of Ancient Philosophy","001
430","44","3.341","15.9","36.4","47.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-Modern Philosophy","432
001","45","3.091","24.4","20.0","24.4","6.7","22.2",".",".",".",".",".",".",".",".","2.2",".","."
"American Philosophy","439
001","17","3.344","47.1","11.8","11.8","5.9","17.6",".",".",".",".",".",".",".",".",".","5.9","."
"Environmental Ethics","441
001","44","3.302","22.7","29.5","36.4","2.3","6.8",".",".","2.3",".",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Philosophy of Religion","501
001","30","3.280","26.7","10.0","30.0","16.7",".",".",".","6.7",".",".",".",".",".","6.7",".","3.3"
"Symbolic Logic","511
001","20","3.425","40.0","25.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Language and Meaning","516
001","22","3.333","27.3","36.4","27.3",".",".",".","4.5","4.5",".",".",".",".",".",".",".","."
"Philosophy of History","518
001","15","3.600","53.3","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Philos of Natural Sciences","520
001","13","3.182","23.1","7.7","38.5","7.7","7.7",".",".",".",".",".",".",".",".","7.7",".","7.7"
