"","999
012","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
020","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
024","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Independent Research","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"L SC COM
120","Dept. Total","337","3.482","45.7","22.8","18.7","5.6","4.5","",".","0.3","1.2","",".",".","",".","0.3","",".",".","0.3","0.6"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","38","3.414","42.1","21.1","26.3","2.6","7.9","",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","57","3.521","40.4","36.8","14.0","5.3","3.5","",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","73","3.438","42.5","21.9","21.9","6.8","5.5","",".",".",".","",".",".","",".",".","",".",".",".","1.4"
"Senior","","127","3.423","44.9","21.3","19.7","7.9","3.9","",".","0.8",".","",".",".","",".",".","",".",".","0.8","0.8"
"Undergraduates","","295","3.445","43.1","24.4","20.0","6.4","4.7","",".","0.3",".","",".",".","",".",".","",".",".","0.3","0.7"
"Special","","5","3.800","80.0",".","20.0",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","37","3.758","62.2","13.5","8.1",".","2.7","",".",".","10.8","",".",".","",".","2.7","",".",".",".","."
"","Dept. Total","337","3.482","45.7","22.8","18.7","5.6","4.5","",".","0.3","1.2","",".",".","",".","0.3","",".",".","0.3","0.6"
