"","999
050","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","999
064","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","999
072","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Independent Reading","Course Total","11","4.000","9.1",".",".",".",".",".",".","90.9","",".",".",".",".","",".",".",".","."
"ENGLISH
350","Dept. Total","5547","3.254","25.1","25.9","25.4","8.4","4.6","1.2","1.1","1.0","",".","6.7","0.1","0.3","",".","0.2","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1735","3.170","17.8","28.6","32.7","10.7","4.0","1.0","1.4",".","",".","3.7",".",".","",".","0.1",".","."
"Sophomore","","1120","3.188","19.5","28.9","31.6","9.6","4.9","1.4","0.8","0.2","",".","2.7","0.1",".","",".","0.3",".","."
"Junior","","974","3.185","26.0","26.2","24.7","9.9","7.6","1.6","1.5",".","",".","2.2","0.1",".","",".","0.2",".","."
"Senior","","926","3.288","32.2","25.5","23.7","7.8","5.6","1.7","1.1","0.8","",".","1.0",".",".","",".","0.3",".","0.4"
"Undergraduates","","4755","3.201","22.6","27.6","29.0","9.7","5.3","1.4","1.2","0.2","",".","2.6","0.0",".","",".","0.2",".","0.1"
"Special","","162","3.687","25.3","11.1","3.7","1.9","0.6",".",".","1.2","",".","52.5","1.9",".","",".","0.6","1.2","."
"Graduate","","629","3.797","44.0","16.4","3.5","0.3","0.5",".",".","6.7","",".","25.6","0.5","2.2","",".",".",".","0.3"
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"","Dept. Total","5547","3.254","25.1","25.9","25.4","8.4","4.6","1.2","1.1","1.0","",".","6.7","0.1","0.3","",".","0.2","0.0","0.1"
