"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","241","3.245","18.3","29.9","38.6","10.8","1.7","0.8",".",".",".",".",".",".",".",".",".","."
"","300
002","235","3.303","21.7","32.3","34.5","7.7","3.0","0.4",".","0.4",".",".",".",".",".",".",".","."
"","300
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Marketing Management","Course Total","483","3.284","21.1","30.6","36.0","9.1","2.3","0.6",".","0.2",".",".",".",".",".",".",".","."
"","305
001","58","3.526","27.6","53.4","17.2",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"","002
305","60","3.300","33.3","20.0","28.3","10.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","118","3.411","30.5","36.4","22.9","5.1","5.1",".",".",".",".",".",".",".",".",".",".","."
"","310
001","57","3.211","12.3","31.6","43.9","10.5","1.8",".",".",".",".",".",".",".",".",".",".","."
"","310
002","50","3.220","24.0","8.0","56.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","107","3.215","17.8","20.6","49.5","11.2","0.9",".",".",".",".",".",".",".",".",".",".","."
"","399
021","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
026","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
038","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","9","3.813","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","415
001","46","3.400","30.4","34.8","17.4","13.0","2.2",".",".",".",".",".",".",".",".",".","2.2","."
"","420
001","37","3.514","32.4","40.5","24.3","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","53","3.585","41.5","34.0","24.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing","Course Total","90","3.556","37.8","36.7","24.4","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","425
001","20","3.368","30.0","15.0","45.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".","."
"Promotional Campaigns","454
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","460
001","36","3.069","30.6","13.9","16.7","16.7","22.2",".",".",".",".",".",".",".",".",".",".","."
"","002
460","37","2.986","24.3","18.9","16.2","10.8","29.7",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","73","3.027","27.4","16.4","16.4","13.7","26.0",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","635
001","33","3.672","48.5","33.3","15.2",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Retail Management","001
640","31","3.274","32.3","16.1","32.3","12.9","6.5",".",".",".",".",".",".",".",".",".",".","."
"","700
001","45","3.614","37.8","44.4","15.6",".",".",".",".",".",".",".",".",".",".",".",".","2.2"
"","002
700","38","3.579","34.2","47.4","18.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","83","3.598","36.1","45.8","16.9",".",".",".",".",".",".",".",".",".",".",".",".","1.2"
"Consumer Behavior","705
001","35","3.786","68.6","20.0","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","33","3.485","48.5","12.1","30.3","6.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","725
002","33","3.391","18.2","42.4","33.3","3.0",".",".",".","3.0",".",".",".",".",".",".",".","."
"Product & Price Management","730
001","34","3.559","29.4","55.9","11.8","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","799
038","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
040","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","21","3.500",".","14.3",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"Exper Research in Marketing","855
001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Marketing PhD","971
001","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
040","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
047","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
052","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
092","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 61 of 373"
