"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"E C E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","186","3.217","25.3","32.8","25.3","11.3","2.7","2.7",".",".",".",".",".",".","",".",".",".","."
"Junior","","547","2.952","23.6","22.7","23.9","10.6","14.6","2.4","1.8",".",".",".",".",".","",".","0.2",".","0.2"
"Senior","","976","3.047","28.0","24.2","19.2","12.0","12.5","3.0","0.9","0.2",".",".",".",".","",".","0.1",".","."
"Undergraduates","","1713","3.034","26.2","24.8","21.3","11.4","12.1","2.7","1.1","0.1",".",".",".",".","",".","0.1",".","0.1"
"Special","","39","3.214","41.0","7.7","33.3","5.1","5.1",".","5.1",".",".",".",".",".","",".",".","2.6","."
"Graduate","","665","3.705","44.7","16.7","10.7","1.5","1.1",".",".","6.6","0.3","14.7","0.3","2.9","",".","0.2",".","0.5"
"","Dept. Total","2417","3.211","31.5","22.3","18.6","8.6","8.9","1.9","0.9","1.9","0.1","4.1","0.1","0.8","",".","0.1","0.0","0.2"
