"ENGR MECHANICS & ASTRONA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"542
Advanced Dynamics","001","","13","3.115","53.8","7.7","15.4",".","7.7","7.7","7.7",".",".",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"550
Astrodynamics","001","","9","3.000","22.2","22.2","22.2",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"601
Special Topics: Engr Mech","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"605
Intro to Finite Elements","001","","12","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"608
Composite Materials","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"622
Mechanics of Continua","001","","6","3.167","33.3","33.3","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","9","3.222","33.3","22.2","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","","10","3.417","40.0","20.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"719
Advanced Fracture Mechanics","001","","7","3.583","28.6","42.9","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"890","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator Research","Course Total","","9","4.000","55.6",".",".",".",".",".",".","22.2",".",".",".","22.2",".",".",".","."
"925
Rheology Research Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
