"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","90","3.029","13.3","22.2","32.2","18.9","6.7","1.1","1.1","2.2",".",".",".",".",".","2.2",".","."
"","153","001","","16","2.906","6.3","12.5","50.0","18.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"","153","002","","16","3.031","12.5","18.8","37.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".","."
"Apprl Dsgn:Clothing Const I","","Course Total","","32","2.969","9.4","15.6","43.8","21.9","9.4",".",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","210","001","","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","17","3.118","17.6","17.6","41.2","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"Inter Envir & Hum Behavior","221","001","","68","2.632","16.2","14.7","22.1","17.6","7.4","22.1",".",".",".",".",".",".",".",".",".","."
"Interior Architect Design","223","001","","26","3.250","30.8","19.2","26.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","","16","3.188","31.3","12.5","31.3","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229","001","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apprl Dsgn:Flat Patt&Drapng","253","001","","9","3.444","33.3","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","299","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Design: Sketching&Rendering","320","001","","17","3.471","23.5","52.9","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design II","322","001","","22","3.136","13.6","31.8","27.3","22.7","4.5",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323","001","","13","3.077","38.5","7.7","23.1","23.1",".",".","7.7",".",".",".",".",".",".",".",".","."
"Hist of Fashion,1400-Presnt","355","001","","36","2.824","27.8","5.6","19.4","11.1","22.2","5.6","2.8","5.6",".",".",".",".",".",".",".","."
"European Interiors to 18 C","421","001","","28","3.054","32.1","14.3","21.4","10.7","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"Amer Interiors,1620-1950","422","001","","22","2.955","27.3","9.1","27.3","9.1","22.7","4.5",".",".",".",".",".",".",".",".",".","."
"Apparel Design II","425","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","","15","3.357","20.0","40.0","26.7",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Special Topics","501","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Textile:Spec & End Use Anal","561","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","015","","10","3.273","10.0","60.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","601","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","","12","3.429","25.0","50.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Interior Design IV","623","001","","13","2.846","7.7","23.1","23.1","23.1","23.1",".",".",".",".",".",".",".",".",".",".","."
"Portfolio Preparation","624","001","","17","2.971","5.9","17.6","47.1","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"Housing Envrs-Older People","630","001","","10","3.556","40.0","20.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","14","3.935","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
