"","991
009","3","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","012
991","6","4.000","33.3",".",".",".",".",".",".","50.0",".","",".",".","","16.7",".","",".",".","."
"","991
013","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Indiv Research-Slavic Lit","Course Total","12","4.000","58.3",".",".",".",".",".",".","25.0","",".",".","",".","16.7","",".",".",".","."
"SLAVIC
888","Dept. Total","277","3.601","57.4","19.5","13.4","3.2","1.8","0.7","0.4","2.5","",".",".","",".","0.7","",".","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","44","3.463","47.7","18.2","25.0","4.5","4.5",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","42","3.570","52.4","16.7","23.8","7.1",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","39","3.446","46.2","28.2","15.4","2.6","5.1","2.6",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","56","3.526","50.0","28.6","10.7","1.8","1.8","1.8","1.8","1.8","",".",".","",".",".","",".","1.8",".","."
"Undergraduates","","181","3.504","49.2","23.2","18.2","3.9","2.8","1.1","0.6","0.6","",".",".","",".",".","",".","0.6",".","."
"Special","","17","3.667","52.9","29.4","11.8","5.9",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","79","3.886","77.2","8.9","2.5","1.3",".",".",".","7.6","",".",".","",".","2.5","",".",".",".","."
"","Dept. Total","277","3.601","57.4","19.5","13.4","3.2","1.8","0.7","0.4","2.5","",".",".","",".","0.7","",".","0.4",".","."
