"CONSERVATION","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"267
CONSERV","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Soc Pol&Mgmt-National Parks","749
001","","8","3.313","50.0","37.5","",".",".","",".",".","","12.5",".","",".","",".",".","",".","",".","",".",".","."
"CONSERV
267","Dept. Total","","8","3.313","50.0","37.5","",".",".","",".","",".","12.5","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"267
CONSERV","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","3","2.500","33.3","33.3","",".",".","",".","",".","33.3","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","3","2.500","33.3","33.3","",".",".","",".","",".","33.3","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","3","3.667","33.3","66.7","",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","2","4.000","100.0",".","",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","8","3.313","50.0","37.5","",".",".","",".","",".","12.5","",".","",".",".","",".","",".","",".",".",".","."
