"TRANSPORTATION AND PUBLIC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","",""
"325","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"325","002","","9","3.563","44.4","11.1","33.3",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"Public Utilities","Course Total","","13","3.417","38.5","15.4","30.8",".","7.7",".",".",".",".",".",".",".",".","7.7",".","."
"478
Urban Transport Economics","001","","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"640
Transp & Business Logistics","001","","18","3.639","44.4","44.4","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"646
Logistics Strategies","001","","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"725","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"725","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Utilities","Course Total","","5","***","","","","","","","","","","","","","","","",""
