"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"","200
001","230","3.075","20.0","20.0","27.8","18.3","11.7","0.9",".","","0.9",".","",".",".","",".",".","",".","0.4","."
"","200
002","115","2.930","21.7","13.0","18.3","27.0","16.5","2.6",".","","0.9",".","",".",".","",".",".","",".",".","."
"International Business","Course Total","345","3.026","20.6","17.7","24.6","21.2","13.3","1.4","",".","0.9","",".",".","",".",".","",".",".","0.3","."
"Reading & Research-Intl Bus","399
018","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"PhD Thesis-Intl Business","990
006","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"INTL BUS
235","Dept. Total","348","3.031","21.0","17.5","24.4","21.0","13.2","1.4","",".","0.9","",".",".","",".","0.3","",".",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","2.000",".",".",".",".","100.0",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","79","2.905","12.7","19.0","25.3","22.8","20.3",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","151","3.033","23.2","14.6","25.8","21.2","12.6","2.0","",".",".","",".",".","",".",".","",".",".","0.7","."
"Senior","","114","3.119","23.7","21.1","21.9","20.2","8.8","1.8","",".","2.6","",".",".","",".",".","",".",".",".","."
"Undergraduates","","345","3.028","20.9","17.7","24.3","21.2","13.3","1.4","",".","0.9","",".",".","",".",".","",".",".","0.3","."
"Special","","1","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","2","4.000","50.0",".",".",".",".",".","",".",".","",".",".","",".","50.0","",".",".",".","."
"","Dept. Total","348","3.031","21.0","17.5","24.4","21.0","13.2","1.4","",".","0.9","",".",".","",".","0.3","",".",".","0.3","."
